Term	Priority	Adjusted P	Odds ratio	N overlap	Overlap genes
5Q35 Copy Number Variation WP5380	2.886733609108055	0.019031961598021008	2.3179849189796244	18	SNCA, NOP16, TMED9, KIAA1191, NELFB, JUN, COX7C, TMED10, COX4I1, PDLIM7, HIP1, COX5A, SRC, FAF2, COX5B, GNAI1, LMAN2, CXCR4
Regulation Of Actin Cytoskeleton WP51	2.798032275002575	0.01539067372750185	2.1314196483652066	23	GSN, PFN1, CYFIP2, ROCK1, ROCK2, EGFR, NRAS, PAK2, CFL2, CFL1, VCL, PXN, ACTG1, RHOA, FN1, GNG12, PIK3CB, PIK3R4, WASF2, CRK, TMSB4X, GNA13, CSK
22Q11 2 Copy Number Variation Syndrome WP4657	2.797866341821458	0.020372469972700355	2.229063214013709	19	PPP1CB, RAN, EGFR, TRMT2A, RELN, SHOC2, CUL3, H4C1, RCC1, GLUD1, ACTA2, SEPTIN11, TNPO1, RANBP1, SEPTIN8, RANGAP1, CLDN5, EMC10, UFD1
Spinal Cord Injury WP2431	2.797866341821458	0.020372469972700355	2.229063214013709	19	VIM, ROCK2, EGFR, CCND1, MIF, GFAP, LGALS3, GJA1, RHOA, ANXA1, RHOB, RHOC, PTPRA, CDK4, CDK1, CXCL8, CASP3, APEX1, PTGS2
HDAC6 Interactions In The Central Nervous System WP5426	2.7822549013353104	0.022687298996652693	2.2444358127791806	18	VIM, PARK7, EGFR, SNCA, SMAD2, XRCC6, MIF, ISG15, MYD88, PXN, FUS, HSPA8, HSPA4, GSK3B, HSPB1, MAP1LC3A, SOD1, MAPRE1
Cell Cycle WP179	2.7668706773622693	0.02144748356501703	2.2070950226244346	19	CCND1, SMAD3, SMAD2, PRKDC, SMC3, CCNB1, CDC7, CDK4, MCM4, CDK1, MCM5, MCM7, MCM2, GSK3B, YWHAE, YWHAB, RAD21, HDAC1, HDAC2
Ras Signaling WP4223	2.752402741302367	0.013805233344780218	2.028862638265893	27	BAD, EPHA2, CALM1, RIN1, RALB, RALA, EGFR, NRAS, PAK2, AKT3, KDR, SHOC2, GNB2, RGL2, RAB5B, PRKACB, PRKACA, RHOA, GNG12, AFDN, PIK3CB, NF1, RAB5C, RAP1A, RAP1B, ARF6, IKBKG
Hippo Signaling Regulation WP4540	2.746154086892466	0.029680805703756225	2.282111245966668	16	PRKAB2, EPHA2, EGFR, PRKAA1, KDR, SMAD3, SMAD2, PRKCD, PRKAR1A, PRKAR2B, PRKAR2A, PRKACB, PRKACA, RHOA, NF2, STK3
Measles Virus Infection WP4630	2.743731409525893	0.019521286578189807	2.146089616929059	21	BAD, CCND1, MAP3K7, EIF2S1, MYD88, MAVS, TBK1, JUN, HSPA8, HSPA2, TYK2, OAS2, PIK3CB, CDK4, ADAR, CASP3, FADD, STAT2, CD46, RACK1, IKBKG
Insulin Signaling WP481	2.7395003700020557	0.016412862107513505	2.0782914301162476	24	PTPN1, STXBP1, STXBP3, PRKAA1, STX4, MAP3K7, PRKCD, EIF4EBP1, FLOT2, GYG1, RAB4A, JUN, PTPRF, PIK3CB, GSK3B, PIK3R4, EIF4E, CAP1, MYO1C, PFKL, CRK, ARF6, RPS6KA3, MAP4K4
Brain Derived Neurotrophic Factor BDNF Signaling WP2380	2.7177508759698097	0.020372469972700355	2.1276363808711314	21	BAD, RPS6, PRKAA1, DPYSL2, CFL1, PRKCD, EIF2S1, DLG1, EIF4EBP1, JUN, RHOG, PTPRF, GSK3B, RAP1A, CASP3, EIF4E, SRC, RPS6KA3, FYN, RACK1, IKBKG
Small Cell Lung Cancer WP4658	2.568288789913252	0.045740068733952366	2.1911875042630107	15	ITGA3, ITGA2, FN1, LAMB2, PIK3CB, CDK4, CCND1, AKT3, CASP3, DDB2, COL4A2, ITGB1, PTGS2, ITGAV, IKBKG
2Q37 Copy Number Variation Syndrome WP5224	2.5057612859211558	0.03343659765254346	2.0250726285209044	20	RPS6, UBE2F, RRAGA, RRAGC, COPS8, CALM1, EGFR, SH3BP4, GABARAPL2, RAB27A, LRRFIP1, JUN, ATG4B, DTYMK, ILK, MAP1LC3A, MAP1LC3B, ITGB3, CXCR4, ILKAP
DNA Repair Pathways Full Network WP4946	2.5011323053748162	0.03936021364579511	2.069250886683624	18	LIG1, LIG4, MSH6, MRE11, XRCC6, XRCC4, PRKDC, RFC2, RFC3, RAP1A, RPA2, RAD50, DDB2, DDB1, ERCC2, APEX1, POLD1, POLD2
Fragile X Syndrome WP4549	2.437590381055911	0.04466964364380814	2.029625724828677	18	APP, CYFIP2, AP2S1, PRKAR1A, EIF4G1, SH3GL1, PRKACA, PIK3CB, AGO2, AKT1S1, NF1, CLTC, MAP1LC3B, EIF4E, CPT1A, SRC, AP2A1, FYN
