Quantify Compound Summary Report 

Printed Wed Oct 16 10:34:44 2024

Compound 1:  IS_LPC_17:0

	#	Name	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Sample Text

	#	Name	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Sample Text
36	36	EC72_Lipidomics_000130	0.000	6.83	264.640		264.640	bb	POS_072-126_0 然_0
43	43	EC72_Lipidomics_000137	0.000	6.89	157.019		157.019	bb	POS_072-127_0 然_0
18	18	EC72_Lipidomics_000112	0.000	6.84	524.470		524.470	bb	POS_072-128_0 然_0
19	19	EC72_Lipidomics_000113	0.000	6.84	299.753		299.753	bb	POS_072-129_0然_4
15	15	EC72_Lipidomics_000109	0.000	6.87	175.371		175.371	bb	POS_072-130_0然_4
16	16	EC72_Lipidomics_000110	0.000	6.90	192.789		192.789	bb	POS_072-131_0然_4
26	26	EC72_Lipidomics_000120	0.000	6.90	358.932		358.932	bb	POS_072-132_5 然 epi_4
25	25	EC72_Lipidomics_000119	0.000	6.83	220.710		220.710	bb	POS_072-133_5 然 epi_4
28	28	EC72_Lipidomics_000122	0.000	6.89	246.532		246.532	bb	POS_072-134_5 然 epi_4
47	47	EC72_Lipidomics_000141	0.000	6.90	276.468		276.468	bb	POS_072-135_5 然 nor_4
14	14	EC72_Lipidomics_000108	0.000	6.81	184.487		184.487	bb	POS_072-136_5 然 nor_4
34	34	EC72_Lipidomics_000128	0.000	6.90	1185.292		1185.292	bb	POS_072-137_5 然 nor_4
6	6	EC72_Lipidomics_000100	0.000	6.89	416.342		416.342	bb	POS_072-138_5 然 epi:nor_4
29	29	EC72_Lipidomics_000123	0.000	6.89	430.089		430.089	bb	POS_072-139_5 然 epi:nor_4
39	39	EC72_Lipidomics_000133	0.000	6.88	361.660		361.660	bb	POS_072-140_5 然 epi:nor_4
46	46	EC72_Lipidomics_000140	0.000	6.80	168.060		168.060	bb	POS_072-141_TNFa_4
27	27	EC72_Lipidomics_000121	0.000	6.89	448.476		448.476	bb	POS_072-142_TNFa_4
38	38	EC72_Lipidomics_000132	0.000	6.90	344.037		344.037	bb	POS_072-143_TNFa_4
17	17	EC72_Lipidomics_000111	0.000	6.89	542.122		542.122	bb	POS_072-144_0然_24
35	35	EC72_Lipidomics_000129	0.000	6.89	401.991		401.991	bb	POS_072-145_0然_24
7	7	EC72_Lipidomics_000101	0.000	6.88	336.509		336.509	bb	POS_072-146_0然_24
44	44	EC72_Lipidomics_000138	0.000	6.89	506.790		506.790	bb	POS_072-147_5 然 epi_24
23	23	EC72_Lipidomics_000117	0.000	6.90	545.469		545.469	bb	POS_072-148_5 然 epi_24
45	45	EC72_Lipidomics_000139	0.000	6.90	468.500		468.500	bb	POS_072-149_5 然 epi_24
5	5	EC72_Lipidomics_000099	0.000	6.92	202.657		202.657	bb	POS_072-150_5 然 nor_24
9	9	EC72_Lipidomics_000103	0.000	6.93	290.457		290.457	bb	POS_072-151_5 然 nor_24
33	33	EC72_Lipidomics_000127	0.000	6.89	410.559		410.559	bb	POS_072-152_5 然 nor_24
3	3	EC72_Lipidomics_000097	0.000	6.89	676.747		676.747	bb	POS_072-153_5 然 epi:nor_24
24	24	EC72_Lipidomics_000118	0.000	6.89	1074.937		1074.937	bb	POS_072-154_5 然 epi:nor_24
8	8	EC72_Lipidomics_000102	0.000	6.87	618.343		618.343	bb	POS_072-155_5 然 epi:nor_24
4	4	EC72_Lipidomics_000098	0.000	6.90	554.317		554.317	bb	POS_072-156_TNFa_24
13	13	EC72_Lipidomics_000107	0.000	6.88	420.178		420.178	bb	POS_072-157_TNFa_24
37	37	EC72_Lipidomics_000131	0.000	6.88	494.168		494.168	bb	POS_072-158_TNFa_24
1	1	EC72_Lipidomics_000095	0.000	6.93	410.836		410.836	bb	Pool
11	11	EC72_Lipidomics_000105	0.000	6.90	106.522		106.522	bb	Pool
21	21	EC72_Lipidomics_000115	0.000	6.84	185.369		185.369	bb	Pool
31	31	EC72_Lipidomics_000125	0.000	6.84	199.502		199.502	bb	Pool
41	41	EC72_Lipidomics_000135	0.000	6.83	198.528		198.528	bb	Pool
49	49	EC72_Lipidomics_000143	0.000	6.89	217.073		217.073	bb	Pool
2	2	EC72_Lipidomics_000096	0.000	7.21	2.557		2.557	bb	Solvent
10	10	EC72_Lipidomics_000104	0.000	7.62	0.030		0.030	bb	Solvent
12	12	EC72_Lipidomics_000106	0.000	6.97	0.422		0.422	bb	Solvent
20	20	EC72_Lipidomics_000114	0.000	6.90	0.915		0.915	bb	Solvent
22	22	EC72_Lipidomics_000116	0.000	6.65	0.953		0.953	bb	Solvent
30	30	EC72_Lipidomics_000124	0.000	7.66	4.158		4.158	bb	Solvent
32	32	EC72_Lipidomics_000126	0.000	6.88	0.407		0.407	bb	Solvent
40	40	EC72_Lipidomics_000134	0.000	6.67	0.801		0.801	bb	Solvent
42	42	EC72_Lipidomics_000136	0.000	7.20	4.914		4.914	bb	Solvent
48	48	EC72_Lipidomics_000142	0.000						Solvent
50	50	EC72_Lipidomics_000144	0.000	7.03	1.445		1.445	bb	Solvent

Compound 38:  PC 38:6_big_peak

	#	Name	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Sample Text
36	36	EC72_Lipidomics_000130	0.000	6.19	135.861		135.861	bb	POS_072-126_0 然_0
43	43	EC72_Lipidomics_000137	0.000	6.19	61.110		61.110	bb	POS_072-127_0 然_0
18	18	EC72_Lipidomics_000112	0.000	6.19	62.712		62.712	bb	POS_072-128_0 然_0
19	19	EC72_Lipidomics_000113	0.000	6.20	72.921		72.921	bb	POS_072-129_0然_4
15	15	EC72_Lipidomics_000109	0.000	6.16	106.435		106.435	bb	POS_072-130_0然_4
16	16	EC72_Lipidomics_000110	0.000	6.18	146.322		146.322	bb	POS_072-131_0然_4
26	26	EC72_Lipidomics_000120	0.000	6.19	133.375		133.375	bb	POS_072-132_5 然 epi_4
25	25	EC72_Lipidomics_000119	0.000	6.20	147.344		147.344	bb	POS_072-133_5 然 epi_4
28	28	EC72_Lipidomics_000122	0.000	6.19	118.846		118.846	bb	POS_072-134_5 然 epi_4
47	47	EC72_Lipidomics_000141	0.000	6.19	184.050		184.050	bb	POS_072-135_5 然 nor_4
14	14	EC72_Lipidomics_000108	0.000	6.19	130.969		130.969	bb	POS_072-136_5 然 nor_4
34	34	EC72_Lipidomics_000128	0.000	6.18	1054.577		1054.577	bb	POS_072-137_5 然 nor_4
6	6	EC72_Lipidomics_000100	0.000	6.19	217.887		217.887	bb	POS_072-138_5 然 epi:nor_4
29	29	EC72_Lipidomics_000123	0.000	6.19	235.724		235.724	bb	POS_072-139_5 然 epi:nor_4
39	39	EC72_Lipidomics_000133	0.000	6.19	134.859		134.859	bb	POS_072-140_5 然 epi:nor_4
46	46	EC72_Lipidomics_000140	0.000	6.19	129.186		129.186	bb	POS_072-141_TNFa_4
27	27	EC72_Lipidomics_000121	0.000	6.19	206.277		206.277	bb	POS_072-142_TNFa_4
38	38	EC72_Lipidomics_000132	0.000	6.19	84.726		84.726	bb	POS_072-143_TNFa_4
17	17	EC72_Lipidomics_000111	0.000	6.18	235.507		235.507	bb	POS_072-144_0然_24
35	35	EC72_Lipidomics_000129	0.000	6.18	221.506		221.506	bb	POS_072-145_0然_24
7	7	EC72_Lipidomics_000101	0.000	6.18	154.708		154.708	bb	POS_072-146_0然_24
44	44	EC72_Lipidomics_000138	0.000	6.19	232.970		232.970	bb	POS_072-147_5 然 epi_24
23	23	EC72_Lipidomics_000117	0.000	6.20	247.862		247.862	bb	POS_072-148_5 然 epi_24
45	45	EC72_Lipidomics_000139	0.000	6.19	227.202		227.202	bb	POS_072-149_5 然 epi_24
5	5	EC72_Lipidomics_000099	0.000	6.19	154.344		154.344	bb	POS_072-150_5 然 nor_24
9	9	EC72_Lipidomics_000103	0.000	6.20	163.044		163.044	bb	POS_072-151_5 然 nor_24
33	33	EC72_Lipidomics_000127	0.000	6.19	836.983		836.983	bb	POS_072-152_5 然 nor_24
3	3	EC72_Lipidomics_000097	0.000	6.19	197.402		197.402	bb	POS_072-153_5 然 epi:nor_24
24	24	EC72_Lipidomics_000118	0.000	6.20	292.620		292.620	bb	POS_072-154_5 然 epi:nor_24
8	8	EC72_Lipidomics_000102	0.000	6.17	227.887		227.887	bb	POS_072-155_5 然 epi:nor_24
4	4	EC72_Lipidomics_000098	0.000	6.19	176.384		176.384	bb	POS_072-156_TNFa_24
13	13	EC72_Lipidomics_000107	0.000	6.18	173.629		173.629	bb	POS_072-157_TNFa_24
37	37	EC72_Lipidomics_000131	0.000	6.19	228.865		228.865	bb	POS_072-158_TNFa_24
1	1	EC72_Lipidomics_000095	0.000						Pool
11	11	EC72_Lipidomics_000105	0.000	6.18	142.708		142.708	bb	Pool
21	21	EC72_Lipidomics_000115	0.000	6.19	189.587		189.587	bb	Pool
31	31	EC72_Lipidomics_000125	0.000	6.19	105.919		105.919	bb	Pool
41	41	EC72_Lipidomics_000135	0.000	6.19	62.369		62.369	bb	Pool
49	49	EC72_Lipidomics_000143	0.000	6.19	170.281		170.281	bb	Pool
2	2	EC72_Lipidomics_000096	0.000	6.20	0.142		0.142	bb	Solvent
10	10	EC72_Lipidomics_000104	0.000	6.14	0.088		0.088	bb	Solvent
12	12	EC72_Lipidomics_000106	0.000						Solvent
20	20	EC72_Lipidomics_000114	0.000	6.16	0.125		0.125	bb	Solvent
22	22	EC72_Lipidomics_000116	0.000	6.20	0.110		0.110	bb	Solvent
30	30	EC72_Lipidomics_000124	0.000	6.25	0.334		0.334	bb	Solvent
32	32	EC72_Lipidomics_000126	0.000	6.11	0.042		0.042	bb	Solvent
40	40	EC72_Lipidomics_000134	0.000	6.18	0.150		0.150	bb	Solvent
42	42	EC72_Lipidomics_000136	0.000	6.16	0.017		0.017	bb	Solvent
48	48	EC72_Lipidomics_000142	0.000	6.25	0.006		0.006	bb	Solvent
50	50	EC72_Lipidomics_000144	0.000	6.25	0.065		0.065	bb	Solvent

Compound 39:  PC 38:2

	#	Name	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Sample Text
36	36	EC72_Lipidomics_000130	0.000	7.10	179.159		179.159	bb	POS_072-126_0 然_0
43	43	EC72_Lipidomics_000137	0.000	7.09	105.616		105.616	bb	POS_072-127_0 然_0
18	18	EC72_Lipidomics_000112	0.000	7.10	240.787		240.787	bb	POS_072-128_0 然_0
19	19	EC72_Lipidomics_000113	0.000	7.10	177.982		177.982	bb	POS_072-129_0然_4
15	15	EC72_Lipidomics_000109	0.000	7.07	113.598		113.598	bb	POS_072-130_0然_4
16	16	EC72_Lipidomics_000110	0.000	7.10	160.946		160.946	bb	POS_072-131_0然_4
26	26	EC72_Lipidomics_000120	0.000	7.09	124.920		124.920	bb	POS_072-132_5 然 epi_4
25	25	EC72_Lipidomics_000119	0.000	7.10	159.921		159.921	bb	POS_072-133_5 然 epi_4
28	28	EC72_Lipidomics_000122	0.000	7.10	150.955		150.955	bb	POS_072-134_5 然 epi_4
47	47	EC72_Lipidomics_000141	0.000	7.10	177.431		177.431	bb	POS_072-135_5 然 nor_4
14	14	EC72_Lipidomics_000108	0.000	7.10	144.707		144.707	bb	POS_072-136_5 然 nor_4
34	34	EC72_Lipidomics_000128	0.000	7.09	753.552		753.552	bb	POS_072-137_5 然 nor_4
6	6	EC72_Lipidomics_000100	0.000	7.10	738.856		738.856	bb	POS_072-138_5 然 epi:nor_4
29	29	EC72_Lipidomics_000123	0.000	7.09	231.143		231.143	bb	POS_072-139_5 然 epi:nor_4
39	39	EC72_Lipidomics_000133	0.000	7.10	251.409		251.409	bb	POS_072-140_5 然 epi:nor_4
46	46	EC72_Lipidomics_000140	0.000	7.10	153.006		153.006	bb	POS_072-141_TNFa_4
27	27	EC72_Lipidomics_000121	0.000	7.10	278.870		278.870	bb	POS_072-142_TNFa_4
38	38	EC72_Lipidomics_000132	0.000	7.09	167.068		167.068	bb	POS_072-143_TNFa_4
17	17	EC72_Lipidomics_000111	0.000	7.10	293.162		293.162	bb	POS_072-144_0然_24
35	35	EC72_Lipidomics_000129	0.000	7.09	290.452		290.452	bb	POS_072-145_0然_24
7	7	EC72_Lipidomics_000101	0.000	7.07	216.999		216.999	bb	POS_072-146_0然_24
44	44	EC72_Lipidomics_000138	0.000	7.10	333.648		333.648	bb	POS_072-147_5 然 epi_24
23	23	EC72_Lipidomics_000117	0.000	7.10	323.481		323.481	bb	POS_072-148_5 然 epi_24
45	45	EC72_Lipidomics_000139	0.000	7.10	394.828		394.828	bb	POS_072-149_5 然 epi_24
5	5	EC72_Lipidomics_000099	0.000	7.10	132.916		132.916	bb	POS_072-150_5 然 nor_24
9	9	EC72_Lipidomics_000103	0.000	7.11	214.399		214.399	bb	POS_072-151_5 然 nor_24
33	33	EC72_Lipidomics_000127	0.000	7.10	253.850		253.850	bb	POS_072-152_5 然 nor_24
3	3	EC72_Lipidomics_000097	0.000	7.10	465.253		465.253	bb	POS_072-153_5 然 epi:nor_24
24	24	EC72_Lipidomics_000118	0.000	7.11	612.346		612.346	bb	POS_072-154_5 然 epi:nor_24
8	8	EC72_Lipidomics_000102	0.000	7.09	459.649		459.649	bb	POS_072-155_5 然 epi:nor_24
4	4	EC72_Lipidomics_000098	0.000	7.10	307.303		307.303	bb	POS_072-156_TNFa_24
13	13	EC72_Lipidomics_000107	0.000	7.07	283.585		283.585	bb	POS_072-157_TNFa_24
37	37	EC72_Lipidomics_000131	0.000	7.10	342.450		342.450	bb	POS_072-158_TNFa_24
1	1	EC72_Lipidomics_000095	0.000	7.11	308.739		308.739	bb	Pool
11	11	EC72_Lipidomics_000105	0.000	7.10	118.170		118.170	bb	Pool
21	21	EC72_Lipidomics_000115	0.000	7.10	152.115		152.115	bb	Pool
31	31	EC72_Lipidomics_000125	0.000	7.10	135.207		135.207	bb	Pool
41	41	EC72_Lipidomics_000135	0.000	7.10	127.473		127.473	bb	Pool
49	49	EC72_Lipidomics_000143	0.000	7.10	142.811		142.811	bb	Pool
2	2	EC72_Lipidomics_000096	0.000						Solvent
10	10	EC72_Lipidomics_000104	0.000						Solvent
12	12	EC72_Lipidomics_000106	0.000	7.21	0.420		0.420	bb	Solvent
20	20	EC72_Lipidomics_000114	0.000	7.23	0.523		0.523	bb	Solvent
22	22	EC72_Lipidomics_000116	0.000	7.06	0.102		0.102	bb	Solvent
30	30	EC72_Lipidomics_000124	0.000						Solvent
32	32	EC72_Lipidomics_000126	0.000	7.14	0.332		0.332	bb	Solvent
40	40	EC72_Lipidomics_000134	0.000	7.06	0.705		0.705	bb	Solvent
42	42	EC72_Lipidomics_000136	0.000	7.21	1.075		1.075	bb	Solvent
48	48	EC72_Lipidomics_000142	0.000	7.05	1.020		1.020	bb	Solvent
50	50	EC72_Lipidomics_000144	0.000	7.13	0.335		0.335	bb	Solvent

Compound 40:  PC 38:3_splitpeak

	#	Name	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Sample Text
36	36	EC72_Lipidomics_000130	0.000	6.90	201.945		201.945	bb	POS_072-126_0 然_0
43	43	EC72_Lipidomics_000137	0.000	6.89	128.949		128.949	bb	POS_072-127_0 然_0
18	18	EC72_Lipidomics_000112	0.000	6.80	522.839		522.839	bb	POS_072-128_0 然_0
19	19	EC72_Lipidomics_000113	0.000	6.90	211.532		211.532	bb	POS_072-129_0然_4
15	15	EC72_Lipidomics_000109	0.000	6.87	143.942		143.942	bb	POS_072-130_0然_4
16	16	EC72_Lipidomics_000110	0.000	6.90	114.958		114.958	bb	POS_072-131_0然_4
26	26	EC72_Lipidomics_000120	0.000	6.89	350.080		350.080	bb	POS_072-132_5 然 epi_4
25	25	EC72_Lipidomics_000119	0.000	6.90	317.812		317.812	bb	POS_072-133_5 然 epi_4
28	28	EC72_Lipidomics_000122	0.000	6.89	297.009		297.009	bb	POS_072-134_5 然 epi_4
47	47	EC72_Lipidomics_000141	0.000	6.90	287.429		287.429	bb	POS_072-135_5 然 nor_4
14	14	EC72_Lipidomics_000108	0.000	6.89	243.793		243.793	bb	POS_072-136_5 然 nor_4
34	34	EC72_Lipidomics_000128	0.000	6.90	2012.677		2012.677	bb	POS_072-137_5 然 nor_4
6	6	EC72_Lipidomics_000100	0.000	6.90	593.405		593.405	bb	POS_072-138_5 然 epi:nor_4
29	29	EC72_Lipidomics_000123	0.000	6.89	426.379		426.379	bb	POS_072-139_5 然 epi:nor_4
39	39	EC72_Lipidomics_000133	0.000	6.89	408.672		408.672	bb	POS_072-140_5 然 epi:nor_4
46	46	EC72_Lipidomics_000140	0.000	6.90	203.420		203.420	bb	POS_072-141_TNFa_4
27	27	EC72_Lipidomics_000121	0.000	6.89	451.425		451.425	bb	POS_072-142_TNFa_4
38	38	EC72_Lipidomics_000132	0.000	6.89	453.799		453.799	bb	POS_072-143_TNFa_4
17	17	EC72_Lipidomics_000111	0.000	6.89	567.402		567.402	bb	POS_072-144_0然_24
35	35	EC72_Lipidomics_000129	0.000	6.89	438.490		438.490	bb	POS_072-145_0然_24
7	7	EC72_Lipidomics_000101	0.000	6.88	375.129		375.129	bb	POS_072-146_0然_24
44	44	EC72_Lipidomics_000138	0.000	6.89	571.943		571.943	bb	POS_072-147_5 然 epi_24
23	23	EC72_Lipidomics_000117	0.000	6.90	554.246		554.246	bb	POS_072-148_5 然 epi_24
45	45	EC72_Lipidomics_000139	0.000	6.90	558.188		558.188	bb	POS_072-149_5 然 epi_24
5	5	EC72_Lipidomics_000099	0.000	6.92	317.166		317.166	bb	POS_072-150_5 然 nor_24
9	9	EC72_Lipidomics_000103	0.000	6.93	374.913		374.913	bb	POS_072-151_5 然 nor_24
33	33	EC72_Lipidomics_000127	0.000	6.89	266.679		266.679	bb	POS_072-152_5 然 nor_24
3	3	EC72_Lipidomics_000097	0.000	6.90	756.457		756.457	bb	POS_072-153_5 然 epi:nor_24
24	24	EC72_Lipidomics_000118	0.000	6.90	1115.986		1115.986	bb	POS_072-154_5 然 epi:nor_24
8	8	EC72_Lipidomics_000102	0.000	6.88	759.294		759.294	bb	POS_072-155_5 然 epi:nor_24
4	4	EC72_Lipidomics_000098	0.000	6.90	491.962		491.962	bb	POS_072-156_TNFa_24
13	13	EC72_Lipidomics_000107	0.000	6.88	504.027		504.027	bb	POS_072-157_TNFa_24
37	37	EC72_Lipidomics_000131	0.000	6.89	497.420		497.420	bb	POS_072-158_TNFa_24
1	1	EC72_Lipidomics_000095	0.000	6.81	689.222		689.222	bb	Pool
11	11	EC72_Lipidomics_000105	0.000	6.89	203.884		203.884	bb	Pool
21	21	EC72_Lipidomics_000115	0.000	6.90	266.407		266.407	bb	Pool
31	31	EC72_Lipidomics_000125	0.000	6.88	270.186		270.186	bb	Pool
41	41	EC72_Lipidomics_000135	0.000	6.88	141.601		141.601	bb	Pool
49	49	EC72_Lipidomics_000143	0.000	6.89	276.814		276.814	bb	Pool
2	2	EC72_Lipidomics_000096	0.000	6.83	0.100		0.100	bb	Solvent
10	10	EC72_Lipidomics_000104	0.000						Solvent
12	12	EC72_Lipidomics_000106	0.000	6.88	0.055		0.055	bb	Solvent
20	20	EC72_Lipidomics_000114	0.000	6.88	0.523		0.523	bb	Solvent
22	22	EC72_Lipidomics_000116	0.000						Solvent
30	30	EC72_Lipidomics_000124	0.000	6.88	0.140		0.140	bb	Solvent
32	32	EC72_Lipidomics_000126	0.000	6.89	0.673		0.673	bb	Solvent
40	40	EC72_Lipidomics_000134	0.000	6.93	0.615		0.615	bb	Solvent
42	42	EC72_Lipidomics_000136	0.000	6.76	1.235		1.235	bb	Solvent
48	48	EC72_Lipidomics_000142	0.000	6.77	1.456		1.456	bb	Solvent
50	50	EC72_Lipidomics_000144	0.000	7.03	1.130		1.130	bb	Solvent

Compound 41:  PC 38:4

	#	Name	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Sample Text
36	36	EC72_Lipidomics_000130	0.000	6.56	713.270		713.270	bb	POS_072-126_0 然_0
43	43	EC72_Lipidomics_000137	0.000	6.55	543.916		543.916	bb	POS_072-127_0 然_0
18	18	EC72_Lipidomics_000112	0.000	6.71	1100.646		1100.646	bb	POS_072-128_0 然_0
19	19	EC72_Lipidomics_000113	0.000	6.56	875.695		875.695	bb	POS_072-129_0然_4
15	15	EC72_Lipidomics_000109	0.000	6.54	611.828		611.828	bb	POS_072-130_0然_4
16	16	EC72_Lipidomics_000110	0.000	6.55	685.258		685.258	bb	POS_072-131_0然_4
26	26	EC72_Lipidomics_000120	0.000	6.55	926.844		926.844	bb	POS_072-132_5 然 epi_4
25	25	EC72_Lipidomics_000119	0.000	6.55	770.616		770.616	bb	POS_072-133_5 然 epi_4
28	28	EC72_Lipidomics_000122	0.000	6.68	590.866		590.866	bb	POS_072-134_5 然 epi_4
47	47	EC72_Lipidomics_000141	0.000	6.55	877.731		877.731	bb	POS_072-135_5 然 nor_4
14	14	EC72_Lipidomics_000108	0.000	6.55	703.628		703.628	bb	POS_072-136_5 然 nor_4
34	34	EC72_Lipidomics_000128	0.000	6.55	4860.180		4860.180	bb	POS_072-137_5 然 nor_4
6	6	EC72_Lipidomics_000100	0.000	6.55	1122.030		1122.030	bb	POS_072-138_5 然 epi:nor_4
29	29	EC72_Lipidomics_000123	0.000	6.56	1084.970		1084.970	bb	POS_072-139_5 然 epi:nor_4
39	39	EC72_Lipidomics_000133	0.000	6.56	1051.263		1051.263	bb	POS_072-140_5 然 epi:nor_4
46	46	EC72_Lipidomics_000140	0.000	6.65	705.915		705.915	bb	POS_072-141_TNFa_4
27	27	EC72_Lipidomics_000121	0.000	6.55	1096.646		1096.646	bb	POS_072-142_TNFa_4
38	38	EC72_Lipidomics_000132	0.000	6.55	1134.213		1134.213	bb	POS_072-143_TNFa_4
17	17	EC72_Lipidomics_000111	0.000	6.55	1196.003		1196.003	bb	POS_072-144_0然_24
35	35	EC72_Lipidomics_000129	0.000	6.54	1136.702		1136.702	bb	POS_072-145_0然_24
7	7	EC72_Lipidomics_000101	0.000	6.54	839.545		839.545	bb	POS_072-146_0然_24
44	44	EC72_Lipidomics_000138	0.000	6.56	1111.365		1111.365	bb	POS_072-147_5 然 epi_24
23	23	EC72_Lipidomics_000117	0.000	6.69	1089.120		1089.120	bb	POS_072-148_5 然 epi_24
45	45	EC72_Lipidomics_000139	0.000	6.54	1273.233		1273.233	bb	POS_072-149_5 然 epi_24
5	5	EC72_Lipidomics_000099	0.000	6.56	677.404		677.404	bb	POS_072-150_5 然 nor_24
9	9	EC72_Lipidomics_000103	0.000	6.56	849.494		849.494	bb	POS_072-151_5 然 nor_24
33	33	EC72_Lipidomics_000127	0.000	6.70	778.204		778.204	bb	POS_072-152_5 然 nor_24
3	3	EC72_Lipidomics_000097	0.000	6.72	1495.491		1495.491	bb	POS_072-153_5 然 epi:nor_24
24	24	EC72_Lipidomics_000118	0.000	6.72	2119.393		2119.393	bb	POS_072-154_5 然 epi:nor_24
8	8	EC72_Lipidomics_000102	0.000	6.71	1370.903		1370.903	bb	POS_072-155_5 然 epi:nor_24
4	4	EC72_Lipidomics_000098	0.000	6.55	1108.710		1108.710	bb	POS_072-156_TNFa_24
13	13	EC72_Lipidomics_000107	0.000	6.53	1095.597		1095.597	bb	POS_072-157_TNFa_24
37	37	EC72_Lipidomics_000131	0.000	6.55	1241.889		1241.889	bb	POS_072-158_TNFa_24
1	1	EC72_Lipidomics_000095	0.000	6.74	832.308		832.308	bb	Pool
11	11	EC72_Lipidomics_000105	0.000	6.55	580.904		580.904	bb	Pool
21	21	EC72_Lipidomics_000115	0.000	6.59	684.908		684.908	bb	Pool
31	31	EC72_Lipidomics_000125	0.000	6.55	746.383		746.383	bb	Pool
41	41	EC72_Lipidomics_000135	0.000	6.55	645.998		645.998	bb	Pool
49	49	EC72_Lipidomics_000143	0.000	6.56	746.480		746.480	bb	Pool
2	2	EC72_Lipidomics_000096	0.000						Solvent
10	10	EC72_Lipidomics_000104	0.000	6.50	1.385		1.385	bb	Solvent
12	12	EC72_Lipidomics_000106	0.000						Solvent
20	20	EC72_Lipidomics_000114	0.000						Solvent
22	22	EC72_Lipidomics_000116	0.000	6.70	1.248		1.248	bb	Solvent
30	30	EC72_Lipidomics_000124	0.000						Solvent
32	32	EC72_Lipidomics_000126	0.000						Solvent
40	40	EC72_Lipidomics_000134	0.000						Solvent
42	42	EC72_Lipidomics_000136	0.000						Solvent
48	48	EC72_Lipidomics_000142	0.000						Solvent
50	50	EC72_Lipidomics_000144	0.000						Solvent

Compound 42:  PC38:5

	#	Name	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Sample Text
36	36	EC72_Lipidomics_000130	0.000	6.35	443.959		443.959	bb	POS_072-126_0 然_0
43	43	EC72_Lipidomics_000137	0.000	6.34	286.391		286.391	bb	POS_072-127_0 然_0
18	18	EC72_Lipidomics_000112	0.000	6.34	602.350		602.350	bb	POS_072-128_0 然_0
19	19	EC72_Lipidomics_000113	0.000	6.35	650.246		650.246	bb	POS_072-129_0然_4
15	15	EC72_Lipidomics_000109	0.000	6.32	461.899		461.899	bb	POS_072-130_0然_4
16	16	EC72_Lipidomics_000110	0.000	6.34	650.155		650.155	bb	POS_072-131_0然_4
26	26	EC72_Lipidomics_000120	0.000	6.35	850.730		850.730	bb	POS_072-132_5 然 epi_4
25	25	EC72_Lipidomics_000119	0.000	6.35	574.105		574.105	bb	POS_072-133_5 然 epi_4
28	28	EC72_Lipidomics_000122	0.000	6.34	632.487		632.487	bb	POS_072-134_5 然 epi_4
47	47	EC72_Lipidomics_000141	0.000	6.35	637.932		637.932	bb	POS_072-135_5 然 nor_4
14	14	EC72_Lipidomics_000108	0.000	6.35	497.031		497.031	bb	POS_072-136_5 然 nor_4
34	34	EC72_Lipidomics_000128	0.000	6.33	3488.913		3488.913	bb	POS_072-137_5 然 nor_4
6	6	EC72_Lipidomics_000100	0.000	6.34	994.062		994.062	bb	POS_072-138_5 然 epi:nor_4
29	29	EC72_Lipidomics_000123	0.000	6.34	901.006		901.006	bb	POS_072-139_5 然 epi:nor_4
39	39	EC72_Lipidomics_000133	0.000	6.35	746.899		746.899	bb	POS_072-140_5 然 epi:nor_4
46	46	EC72_Lipidomics_000140	0.000	6.34	539.837		539.837	bb	POS_072-141_TNFa_4
27	27	EC72_Lipidomics_000121	0.000	6.34	877.068		877.068	bb	POS_072-142_TNFa_4
38	38	EC72_Lipidomics_000132	0.000	6.34	896.043		896.043	bb	POS_072-143_TNFa_4
17	17	EC72_Lipidomics_000111	0.000	6.34	536.869		536.869	bb	POS_072-144_0然_24
35	35	EC72_Lipidomics_000129	0.000	6.34	775.698		775.698	bb	POS_072-145_0然_24
7	7	EC72_Lipidomics_000101	0.000	6.33	461.918		461.918	bb	POS_072-146_0然_24
44	44	EC72_Lipidomics_000138	0.000	6.35	802.361		802.361	bb	POS_072-147_5 然 epi_24
23	23	EC72_Lipidomics_000117	0.000	6.35	870.372		870.372	bb	POS_072-148_5 然 epi_24
45	45	EC72_Lipidomics_000139	0.000	6.34	794.199		794.199	bb	POS_072-149_5 然 epi_24
5	5	EC72_Lipidomics_000099	0.000	6.34	294.051		294.051	bb	POS_072-150_5 然 nor_24
9	9	EC72_Lipidomics_000103	0.000	6.36	497.958		497.958	bb	POS_072-151_5 然 nor_24
33	33	EC72_Lipidomics_000127	0.000	6.32	328.587		328.587	bb	POS_072-152_5 然 nor_24
3	3	EC72_Lipidomics_000097	0.000	6.34	761.552		761.552	bb	POS_072-153_5 然 epi:nor_24
24	24	EC72_Lipidomics_000118	0.000	6.35	1343.394		1343.394	bb	POS_072-154_5 然 epi:nor_24
8	8	EC72_Lipidomics_000102	0.000	6.32	621.810		621.810	bb	POS_072-155_5 然 epi:nor_24
4	4	EC72_Lipidomics_000098	0.000	6.35	707.734		707.734	bb	POS_072-156_TNFa_24
