From	To
NOL6_HUMAN	ENSG00000165271.17
CAHM5_HUMAN	ENSG00000178033.6
HCD2_HUMAN	ENSG00000072506.14
A0A7P0T9B9_HUMAN	ENSG00000178031.18
B4E2Q0_HUMAN	ENSG00000017260.20
C9JQ41_HUMAN	ENSG00000160124.9
A0A2U3TZH3_HUMAN	ENSG00000101210.14
MA1B1_HUMAN	ENSG00000177239.16
PO2F1_HUMAN	ENSG00000143190.23
A0A0C4DGQ5_HUMAN	ENSG00000126247.11
ERCC3_HUMAN	ENSG00000163161.14
C2AIL_HUMAN	ENSG00000237190.4
B4DDF4_HUMAN	ENSG00000064666.15
H3BSW0_HUMAN	ENSG00000180979.10
THOC7_HUMAN	ENSG00000163634.12
CCD9B_HUMAN	ENSG00000188549.13
KDIS_HUMAN	ENSG00000134313.17
F5H7I4_HUMAN	ENSG00000104064.18
APOA1_HUMAN	ENSG00000118137.10
SMN_HUMAN	ENSG00000172062.17
SMN_HUMAN	ENSG00000205571.15
SMN_HUMAN	ENSG00000273772.4
SMN_HUMAN	ENSG00000277773.4
SMN_HUMAN	ENSG00000275349.4
Q5TD07_HUMAN	ENSG00000124588.22
H0YBU4_HUMAN	ENSG00000168300.14
NID1_HUMAN	ENSG00000116962.15
TBC9B_HUMAN	ENSG00000197226.13
TBC9B_HUMAN	ENSG00000284400.2
HIF1N_HUMAN	ENSG00000166135.14
A0A7I2V428_HUMAN	ENSG00000115053.17
BMP2K_HUMAN	ENSG00000138756.19
A0A087WT45_HUMAN	ENSG00000068400.14
A0A087WT45_HUMAN	ENSG00000292219.1
V9GYG9_HUMAN	ENSG00000158874.11
GPT_HUMAN	ENSG00000172269.20
SAHH2_HUMAN	ENSG00000168710.18
A0A7P0TAX3_HUMAN	ENSG00000127914.19
MIX23_HUMAN	ENSG00000160124.9
S38A1_HUMAN	ENSG00000111371.16
ISG20_HUMAN	ENSG00000172183.16
CDN1A_HUMAN	ENSG00000124762.14
K7EL93_HUMAN	ENSG00000062716.13
CHD9_HUMAN	ENSG00000177200.18
DHB2_HUMAN	ENSG00000086696.11
ST38L_HUMAN	ENSG00000211455.8
NUCL_HUMAN	ENSG00000115053.17
Q2TAM5_HUMAN	ENSG00000173039.20
A0A087X0N3_HUMAN	ENSG00000197183.15
STAP2_HUMAN	ENSG00000178078.12
TTC5_HUMAN	ENSG00000136319.12
TTC5_HUMAN	ENSG00000291781.1
F2Z2W7_HUMAN	ENSG00000099899.16
KBTBB_HUMAN	ENSG00000176595.4
KBTBB_HUMAN	ENSG00000273645.2
ARMC8_HUMAN	ENSG00000114098.18
PSB6_HUMAN	ENSG00000142507.10
IPO8_HUMAN	ENSG00000133704.10
LAR4B_HUMAN	ENSG00000107929.16
MGN2_HUMAN	ENSG00000111196.10
G6PC3_HUMAN	ENSG00000141349.10
VP26A_HUMAN	ENSG00000122958.15
MGRN1_HUMAN	ENSG00000102858.13
ABCF3_HUMAN	ENSG00000161204.12
HLAC_HUMAN	ENSG00000204525.18
HIG1C_HUMAN	ENSG00000214511.4
HNRH2_HUMAN	ENSG00000126945.9
PD1L2_HUMAN	ENSG00000197646.8
GALK2_HUMAN	ENSG00000156958.15
SEPT8_HUMAN	ENSG00000164402.14
TCPG_HUMAN	ENSG00000163468.15
E9PH99_HUMAN	ENSG00000112200.17
A0A7I2V2R9_HUMAN	ENSG00000185359.14
G3V5X7_HUMAN	ENSG00000129566.13
G3V5X7_HUMAN	ENSG00000291791.1
A0A7I2V492_HUMAN	ENSG00000168280.18
F5H1S9_HUMAN	ENSG00000177192.14
I3L2C7_HUMAN	ENSG00000179409.11
G3V1P5_HUMAN	ENSG00000099917.17
VPS36_HUMAN	ENSG00000136100.14
HEXI1_HUMAN	ENSG00000186834.4
NDKA_HUMAN	ENSG00000239672.8
E9PQD0_HUMAN	ENSG00000175376.9
GOGA2_HUMAN	ENSG00000167110.19
PCH2_HUMAN	ENSG00000071539.14
A0A7P0T952_HUMAN	ENSG00000100749.9
J3KQU4_HUMAN	ENSG00000141198.16
MCMBP_HUMAN	ENSG00000197771.13
A0A3B3IS90_HUMAN	ENSG00000253710.5
CIPC_HUMAN	ENSG00000198894.8
A0A0C4DFM0_HUMAN	ENSG00000100577.19
XPC_HUMAN	ENSG00000154767.15
A0A3B3IRU2_HUMAN	ENSG00000100138.15
K7ER00_HUMAN	ENSG00000179115.11
SURF4_HUMAN	ENSG00000148248.14
SURF4_HUMAN	ENSG00000280951.3
DNPEP_HUMAN	ENSG00000123992.20
1433F_HUMAN	ENSG00000128245.15
ITAV_HUMAN	ENSG00000138448.13
A0A7I2V4K0_HUMAN	ENSG00000116539.14
SFXN1_HUMAN	ENSG00000164466.13
J3KN29_HUMAN	ENSG00000110801.14
GCP3_HUMAN	ENSG00000126216.15
A0A140T913_HUMAN	ENSG00000235657.9
PCYXL_HUMAN	ENSG00000145882.11
HGS_HUMAN	ENSG00000185359.14
G3V4P8_HUMAN	ENSG00000197045.14
F8W696_HUMAN	ENSG00000118137.10
DOHH_HUMAN	ENSG00000129932.10
NXF1_HUMAN	ENSG00000162231.14
A0A7I2YQF9_HUMAN	ENSG00000184432.11
2ABA_HUMAN	ENSG00000221914.11
B3GN5_HUMAN	ENSG00000176597.12
A0A2R8Y7F4_HUMAN	ENSG00000117523.18
CH082_HUMAN	ENSG00000213563.7
A0A2R8YEA7_HUMAN	ENSG00000075624.17
RRAS_HUMAN	ENSG00000126458.4
MA1A2_HUMAN	ENSG00000198162.12
SMC1A_HUMAN	ENSG00000072501.19
H3BLW6_HUMAN	ENSG00000137216.19
H7C2Q8_HUMAN	ENSG00000117395.13
A0A669KAV0_HUMAN	ENSG00000163703.20
ATPO_HUMAN	ENSG00000241837.7
ESAM_HUMAN	ENSG00000149564.12
CPT2_HUMAN	ENSG00000157184.7
COQ9_HUMAN	ENSG00000088682.14
A0A2R8Y761_HUMAN	ENSG00000136104.22
A0A1W2PS93_HUMAN	ENSG00000109911.19
ULBP2_HUMAN	ENSG00000131015.5
MPP10_HUMAN	ENSG00000124383.11
TCPR1_HUMAN	ENSG00000205356.10
SNX17_HUMAN	ENSG00000115234.11
C9JFR7_HUMAN	ENSG00000172115.9
CHIP_HUMAN	ENSG00000103266.11
A0A2R8YD85_HUMAN	ENSG00000135905.21
FUT11_HUMAN	ENSG00000196968.11
CNBP_HUMAN	ENSG00000169714.17
GOLP3_HUMAN	ENSG00000113384.14
CHM4A_HUMAN	ENSG00000254505.11
CHM4A_HUMAN	ENSG00000285302.5
NEUL_HUMAN	ENSG00000123213.23
I3L2L5_HUMAN	ENSG00000225663.8
I3L2L5_HUMAN	ENSG00000288213.1
RM28_HUMAN	ENSG00000086504.18
GSTK1_HUMAN	ENSG00000197448.14
A0A3B3ISV5_HUMAN	ENSG00000285942.1
MACOI_HUMAN	ENSG00000204178.11
KRT85_HUMAN	ENSG00000135443.8
B3GA3_HUMAN	ENSG00000149541.10
B4E0T2_HUMAN	ENSG00000139197.11
B4E0T2_HUMAN	ENSG00000288217.3
B1AMW1_HUMAN	ENSG00000116815.16
A0A804HJA0_HUMAN	ENSG00000179046
ZFY16_HUMAN	ENSG00000039319.17
STK39_HUMAN	ENSG00000198648.12
A0A804HJG7_HUMAN	ENSG00000163539.19
PTH_HUMAN	ENSG00000187024.15
G8JLH6_HUMAN	ENSG00000010278.15
AT11A_HUMAN	ENSG00000068650.19
DDX18_HUMAN	ENSG00000088205.13
G3V3U5_HUMAN	ENSG00000213930.12
SPB9_HUMAN	ENSG00000170542.6
DJC21_HUMAN	ENSG00000168724.18
PK3CB_HUMAN	ENSG00000051382.9
CNOT7_HUMAN	ENSG00000198791.12
H1BP3_HUMAN	ENSG00000118960.13
TGFA1_HUMAN	ENSG00000135966.14
PININ_HUMAN	ENSG00000100941.9
RL35A_HUMAN	ENSG00000182899.17
PDIA4_HUMAN	ENSG00000155660.11
DNJC5_HUMAN	ENSG00000101152.12
CBPC4_HUMAN	ENSG00000273540.5
PCMD2_HUMAN	ENSG00000203880.13
PCMD2_HUMAN	ENSG00000280663.4
A0A3B3ITG3_HUMAN	ENSG00000136848.19
ACTG_HUMAN	ENSG00000184009.13
ACTG_HUMAN	ENSG00000291420.1
RASH_HUMAN	ENSG00000174775.18
RASH_HUMAN	ENSG00000276536.4
RAE1L_HUMAN	ENSG00000101146.13
TRNT1_HUMAN	ENSG00000072756.18
PHS2_HUMAN	ENSG00000132570.15
H2AV_HUMAN	ENSG00000105968.19
CPSF7_HUMAN	ENSG00000149532.16
E9PGT6_HUMAN	ENSG00000198612.11
IPKB_HUMAN	ENSG00000135549.16
DJC17_HUMAN	ENSG00000104129.10
A0A3B3IU04_HUMAN	ENSG00000150995.21
J3KN16_HUMAN	ENSG00000136813.15
TBAL3_HUMAN	ENSG00000178462.12
A0A6Q8PF33_HUMAN	ENSG00000090861.17
HMGA2_HUMAN	ENSG00000149948.14
SFXN3_HUMAN	ENSG00000107819.15
TRA2B_HUMAN	ENSG00000136527.19
SCRIB_HUMAN	ENSG00000180900.20
SCRIB_HUMAN	ENSG00000274287.4
JAM1_HUMAN	ENSG00000158769.19
G5E9W9_HUMAN	ENSG00000133574.10
ITPR3_HUMAN	ENSG00000096433.11
RGL2_HUMAN	ENSG00000206282.11
RGL2_HUMAN	ENSG00000224841.9
RGL2_HUMAN	ENSG00000228736.9
RGL2_HUMAN	ENSG00000237825.9
RGL2_HUMAN	ENSG00000237441.10
A0A6I8PLD9_HUMAN	ENSG00000163463.13
A0A0A0MRR7_HUMAN	ENSG00000124562.10
VATD_HUMAN	ENSG00000100554.12
P5CS_HUMAN	ENSG00000059573.9
A0A1W2PPJ9_HUMAN	ENSG00000266173.7
A0A2R8Y4S2_HUMAN	ENSG00000136104.22
EMP3_HUMAN	ENSG00000142227.11
NQO2_HUMAN	ENSG00000124588.22
EMAL1_HUMAN	ENSG00000066629.19
ODPB_HUMAN	ENSG00000168291.13
BST1_HUMAN	ENSG00000109743.11
PLEK2_HUMAN	ENSG00000100558.9
CO2A1_HUMAN	ENSG00000139219.19
A0A7I2YQU3_HUMAN	ENSG00000072121.17
DCA13_HUMAN	ENSG00000164934.15
BET1L_HUMAN	ENSG00000177951.18
TM263_HUMAN	ENSG00000151135.10
SAR1B_HUMAN	ENSG00000152700.14
VPS8_HUMAN	ENSG00000156931.16
H0YM23_HUMAN	ENSG00000132466.20
NUP43_HUMAN	ENSG00000120253.14
MOGS_HUMAN	ENSG00000115275.15
RT02_HUMAN	ENSG00000122140.13
AEBP1_HUMAN	ENSG00000106624.11
ILK_HUMAN	ENSG00000166333.14
DHC24_HUMAN	ENSG00000116133.13
PP4P1_HUMAN	ENSG00000165782.11
PP4P1_HUMAN	ENSG00000291802.1
TNR12_HUMAN	ENSG00000006327.14
MRCKB_HUMAN	ENSG00000198752.11
ABRAL_HUMAN	ENSG00000146386.8
PLXB2_HUMAN	ENSG00000196576.16
GRB2_HUMAN	ENSG00000177885.15
AT133_HUMAN	ENSG00000133657.17
SAC1_HUMAN	ENSG00000211456.14
E9PGC0_HUMAN	ENSG00000145715.15
COX11_HUMAN	ENSG00000166260.13
J3KTN0_HUMAN	ENSG00000161960.16
A0A2R8Y651_HUMAN	ENSG00000179855.9
WIPI1_HUMAN	ENSG00000070540.13
H3BQQ9_HUMAN	ENSG00000103275
CD34_HUMAN	ENSG00000174059.17
COPB_HUMAN	ENSG00000129083.13
ULBP5_HUMAN	ENSG00000203722.8
ORML2_HUMAN	ENSG00000123353.10
ANXA1_HUMAN	ENSG00000135046.14
CD151_HUMAN	ENSG00000177697.19
RHOC_HUMAN	ENSG00000155366.17
LANC1_HUMAN	ENSG00000115365.13
PNKD_HUMAN	ENSG00000127838.15
A0A1B0GUA3_HUMAN	ENSG00000198954.9
SAP30_HUMAN	ENSG00000164105.4
UFM1_HUMAN	ENSG00000120686.12
RIPK2_HUMAN	ENSG00000104312.8
RELB_HUMAN	ENSG00000104856.15
CHD5_HUMAN	ENSG00000116254.18
A0A7I2V594_HUMAN	ENSG00000130414.13
H0Y870_HUMAN	ENSG00000186501.15
ANR44_HUMAN	ENSG00000065413.20
A0A7P0Z4N9_HUMAN	ENSG00000184014.9
NOL8_HUMAN	ENSG00000198000.12
NOL8_HUMAN	ENSG00000291347.1
F8VSI7_HUMAN	ENSG00000139644.13
GMPPB_HUMAN	ENSG00000173540.14
TPRKB_HUMAN	ENSG00000144034.16
TPRKB_HUMAN	ENSG00000291480.1
VATC1_HUMAN	ENSG00000155097.12
A0A3B3ITT1_HUMAN	ENSG00000206418.5
HIKES_HUMAN	ENSG00000149196.17
DNM1L_HUMAN	ENSG00000087470.21
C9JLB1_HUMAN	ENSG00000115053.17
OBRG_HUMAN	ENSG00000213625.9
MUTA_HUMAN	ENSG00000146085.8
A0A804HKD7_HUMAN	ENSG00000152061.24
AVL9_HUMAN	ENSG00000105778.20
SSRP1_HUMAN	ENSG00000149136.9
E9PJH7_HUMAN	ENSG00000177542.11
A0A0A0MRK1_HUMAN	ENSG00000160818.17
FUT8_HUMAN	ENSG00000033170.17
NAA16_HUMAN	ENSG00000172766.19
NAV1_HUMAN	ENSG00000134369.16
FAK2_HUMAN	ENSG00000120899.18
TXNL1_HUMAN	ENSG00000091164.13
DNSL1_HUMAN	ENSG00000013563.14
OLA1_HUMAN	ENSG00000138430.16
HYOU1_HUMAN	ENSG00000149428.21
HYOU1_HUMAN	ENSG00000280682.3
SNX6_HUMAN	ENSG00000129515.20
GGT5_HUMAN	ENSG00000099998.19
NEK7_HUMAN	ENSG00000151414.15
CIAO1_HUMAN	ENSG00000144021.3
PALS2_HUMAN	ENSG00000105926.16
CALL3_HUMAN	ENSG00000178363.5
B1AH87_HUMAN	ENSG00000100300.18
HSDL1_HUMAN	ENSG00000103160.12
FKBP7_HUMAN	ENSG00000079150.19
A0A1B0GV70_HUMAN	ENSG00000167302.11
NAA40_HUMAN	ENSG00000110583.13
H7BYT1_HUMAN	ENSG00000141551.15
GT251_HUMAN	ENSG00000130309.12
RL36L_HUMAN	ENSG00000165502.7
F2Z2X0_HUMAN	ENSG00000103202.13
GBP4_HUMAN	ENSG00000162654.9
A0A669KAX3_HUMAN	ENSG00000109501.15
A0A494BZV2_HUMAN	ENSG00000133030.22
CCD83_HUMAN	ENSG00000150676.13
C9JUM1_HUMAN	ENSG00000075624.17
A0A7P0T9R0_HUMAN	ENSG00000157601.15
H0YD93_HUMAN	ENSG00000204130.14
GBG11_HUMAN	ENSG00000127920.6
CFA20_HUMAN	ENSG00000070761.8
ACOX3_HUMAN	ENSG00000087008.16
Q5JY65_HUMAN	ENSG00000101343.15
H0YBI4_HUMAN	ENSG00000163110.15
RPE_HUMAN	ENSG00000197713.15
B4DGU4_HUMAN	ENSG00000168036.19
TADBP_HUMAN	ENSG00000120948.19
A0A1W2PNP0_HUMAN	ENSG00000124155.19
A0A6Q8JR05_HUMAN	ENSG00000196159.14
TOP1_HUMAN	ENSG00000198900.7
MD1L1_HUMAN	ENSG00000002822.16
MPP8_HUMAN	ENSG00000196199.14
FLII_HUMAN	ENSG00000177731.16
FLII_HUMAN	ENSG00000284571.3
MAIP1_HUMAN	ENSG00000162972.11
EKI1_HUMAN	ENSG00000139163.16
TMOD3_HUMAN	ENSG00000138594.14
CANT1_HUMAN	ENSG00000171302.17
AT2A2_HUMAN	ENSG00000174437.18
H3BUH9_HUMAN	ENSG00000140905.11
H3BUH9_HUMAN	ENSG00000291958.1
ELP6_HUMAN	ENSG00000163832.16
CAR10_HUMAN	ENSG00000100065.15
TTC17_HUMAN	ENSG00000052841.16
NNRD_HUMAN	ENSG00000213995.12
PTPRR_HUMAN	ENSG00000153233.13
A0A7P0T8N8_HUMAN	ENSG00000113649.14
RPF2_HUMAN	ENSG00000197498.13
D6RC27_HUMAN	ENSG00000118985.16
F5GXX5_HUMAN	ENSG00000129562.11
ISY1_HUMAN	ENSG00000240682.10
I3VM54_HUMAN	ENSG00000173120.15
IRF3_HUMAN	ENSG00000126456.16
KAP0_HUMAN	ENSG00000108946.17
PLBL2_HUMAN	ENSG00000151176.8
SPTC1_HUMAN	ENSG00000090054.16
CNOT9_HUMAN	ENSG00000144580.15
E7ERK9_HUMAN	ENSG00000115211.17
UBE2A_HUMAN	ENSG00000077721.17
NUMA1_HUMAN	ENSG00000137497.19
A0A7P0TB35_HUMAN	ENSG00000089127.15
COPB2_HUMAN	ENSG00000184432.11
ALDOA_HUMAN	ENSG00000149925.22
OTUD4_HUMAN	ENSG00000164164.17
F5GZS6_HUMAN	ENSG00000168003.19
H2B2F_HUMAN	ENSG00000203814.7
B4DJV2_HUMAN	ENSG00000062485.19
A0A7P0T855_HUMAN	ENSG00000119917.15
TAXB1_HUMAN	ENSG00000106052.14
LRRF1_HUMAN	ENSG00000124831.20
MTMRA_HUMAN	ENSG00000166912.17
MTMRA_HUMAN	ENSG00000277086.3
KAD6_HUMAN	ENSG00000085231.14
KAD6_HUMAN	ENSG00000279247.3
Q5JR04_HUMAN	ENSG00000155363.19
A0A6Q8PFR3_HUMAN	ENSG00000153113.24
THOC5_HUMAN	ENSG00000100296.14
A0A0J9YXF2_HUMAN	ENSG00000105854.13
DGKD_HUMAN	ENSG00000077044.11
IBP4_HUMAN	ENSG00000141753.7
MGAT1_HUMAN	ENSG00000131446.17
E9PH70_HUMAN	ENSG00000134313.17
A0A7I2V5M3_HUMAN	ENSG00000135047.16
Q5SRN5_HUMAN	ENSG00000206503.15
SF3B3_HUMAN	ENSG00000189091.13
H0YDT6_HUMAN	ENSG00000175390.15
SEN34_HUMAN	ENSG00000170892.13
SEN34_HUMAN	ENSG00000274796.4
SEN34_HUMAN	ENSG00000278605.4
SEN34_HUMAN	ENSG00000274129.4
SEN34_HUMAN	ENSG00000278622.4
SEN34_HUMAN	ENSG00000274078.4
SEN34_HUMAN	ENSG00000273896.4
SEN34_HUMAN	ENSG00000278712.4
SEN34_HUMAN	ENSG00000274672.4
SEN34_HUMAN	ENSG00000275165.4
RM38_HUMAN	ENSG00000204316.13
MYO5B_HUMAN	ENSG00000167306.21
IFT20_HUMAN	ENSG00000109083.14
GSDME_HUMAN	ENSG00000105928.16
TMCC3_HUMAN	ENSG00000057704.13
LCAP_HUMAN	ENSG00000113441.16
IF4B_HUMAN	ENSG00000063046.18
Q5T6Z8_HUMAN	ENSG00000116209.12
MOFA1_HUMAN	ENSG00000179010.16
ZFY26_HUMAN	ENSG00000072121.17
MINY3_HUMAN	ENSG00000148481.14
TMM43_HUMAN	ENSG00000170876.9
DESI2_HUMAN	ENSG00000121644.19
NEUR1_HUMAN	ENSG00000184494.8
NEUR1_HUMAN	ENSG00000204386.12
NEUR1_HUMAN	ENSG00000234846.7
NEUR1_HUMAN	ENSG00000227129.6
NEUR1_HUMAN	ENSG00000228691.6
NEUR1_HUMAN	ENSG00000234343.6
NEUR1_HUMAN	ENSG00000223957.6
NEUR1_HUMAN	ENSG00000227315.7
RS27L_HUMAN	ENSG00000185088.14
ECE1_HUMAN	ENSG00000117298.16
A0A7I2V4K5_HUMAN	ENSG00000064601.21
SNAG_HUMAN	ENSG00000134265.13
RFIP1_HUMAN	ENSG00000156675.16
CCND2_HUMAN	ENSG00000118971.9
ITB3_HUMAN	ENSG00000259207.10
PLRKT_HUMAN	ENSG00000107020.10
MYO9A_HUMAN	ENSG00000066933.17
J3KTD8_HUMAN	ENSG00000067955.15
COTL1_HUMAN	ENSG00000103187.8
G5EA30_HUMAN	ENSG00000149187.19
E9PKW1_HUMAN	ENSG00000168056.18
F5H7S7_HUMAN	ENSG00000145703.17
GLSK_HUMAN	ENSG00000115419.14
POP1_HUMAN	ENSG00000104356.11
H7C0J8_HUMAN	ENSG00000186001.14
COG7_HUMAN	ENSG00000168434.13
A0A1B0GVW0_HUMAN	ENSG00000182220.15
KITM_HUMAN	ENSG00000166548.17
PUR8_HUMAN	ENSG00000239900.14
RETST_HUMAN	ENSG00000042445.14
RETST_HUMAN	ENSG00000292155.1
S38A7_HUMAN	ENSG00000103042.9
NJMU_HUMAN	ENSG00000108666.11
WDR91_HUMAN	ENSG00000105875.15
H0Y6Y8_HUMAN	ENSG00000055950.17
RNZ2_HUMAN	ENSG00000006744.19
H1X_HUMAN	ENSG00000184897.7
C9IYN3_HUMAN	ENSG00000143889.16
MACD1_HUMAN	ENSG00000133315.12
Q5JYR7_HUMAN	ENSG00000118705.18
Q5JYR7_HUMAN	ENSG00000291973.1
VKOR1_HUMAN	ENSG00000167397.15
E9PJA2_HUMAN	ENSG00000184371.14
Q5TG12_HUMAN	ENSG00000152894.15
Q5TG12_HUMAN	ENSG00000273993.4
ELAP2_HUMAN	ENSG00000164659.15
X5D2R7_HUMAN	ENSG00000230034.8
M10L1_HUMAN	ENSG00000073146.17
TRI18_HUMAN	ENSG00000101871.18
CYC_HUMAN	ENSG00000172115.9
RL32_HUMAN	ENSG00000144713.13
PSPC1_HUMAN	ENSG00000121390.19
TIM9_HUMAN	ENSG00000100575.14
H0Y626_HUMAN	ENSG00000251537.4
A0A494C001_HUMAN	ENSG00000162775.17
GLRX5_HUMAN	ENSG00000182512.5
GNAI1_HUMAN	ENSG00000127955.17
TRXR3_HUMAN	ENSG00000197763.20
A0A6Q8PHH5_HUMAN	ENSG00000112367.12
CZIB_HUMAN	ENSG00000162384.14
AK1C1_HUMAN	ENSG00000187134.14
COF1_HUMAN	ENSG00000172757.13
RENBP_HUMAN	ENSG00000102032.13
CASP3_HUMAN	ENSG00000164305.20
H0YAK1_HUMAN	ENSG00000132463.15
MCM6_HUMAN	ENSG00000076003.5
AP3M1_HUMAN	ENSG00000185009.13
SMAG2_HUMAN	ENSG00000179134.16
EGLN_HUMAN	ENSG00000106991.15
NRCAM_HUMAN	ENSG00000091129.22
D6RE79_HUMAN	ENSG00000109736.15
PCY2_HUMAN	ENSG00000185813.11
RIOK2_HUMAN	ENSG00000058729.11
PURB_HUMAN	ENSG00000146676.10
FKBP3_HUMAN	ENSG00000100442.11
ECHA_HUMAN	ENSG00000084754.12
ALG6_HUMAN	ENSG00000088035.18
PSA3_HUMAN	ENSG00000100567.13
H0YLB7_HUMAN	ENSG00000140455.17
A0A2R8YFH5_HUMAN	ENSG00000101310.17
F8VQD4_HUMAN	ENSG00000235162.9
ENAH_HUMAN	ENSG00000154380.19
F120B_HUMAN	ENSG00000112584.14
F120B_HUMAN	ENSG00000275333.4
SPP2A_HUMAN	ENSG00000138600.11
FRMD8_HUMAN	ENSG00000126391.14
TR10C_HUMAN	ENSG00000173535.15
UN13B_HUMAN	ENSG00000198722.15
C9JVN9_HUMAN	ENSG00000087299.12
J3KS54_HUMAN	ENSG00000177731.16
J3KS54_HUMAN	ENSG00000284571.3
ZN330_HUMAN	ENSG00000109445.11
RAP1B_HUMAN	ENSG00000127314.18
H0Y8E4_HUMAN	ENSG00000134313.17
A0A5F9ZI21_HUMAN	ENSG00000116584.22
RACK1_HUMAN	ENSG00000204628.12
DAZP1_HUMAN	ENSG00000071626.17
E7ET48_HUMAN	ENSG00000176092.17
I3L297_HUMAN	ENSG00000167193.8
A0A804C9D6_HUMAN	ENSG00000109790.18
ROA1_HUMAN	ENSG00000135486.19
M0R1E3_HUMAN	ENSG00000090971.5
A0A0C4DFZ2_HUMAN	ENSG00000100299.18
F5GYH1_HUMAN	ENSG00000089818.18
BABA2_HUMAN	ENSG00000158019.21
S10AD_HUMAN	ENSG00000189171.15
GAPD1_HUMAN	ENSG00000165219.23
G3V200_HUMAN	ENSG00000139220.17
CRTC1_HUMAN	ENSG00000105662.16
H3BTL1_HUMAN	ENSG00000140941.14
IP6K1_HUMAN	ENSG00000176095.12
DEOC_HUMAN	ENSG00000023697.13
AT131_HUMAN	ENSG00000105726.17
A0A7P0MQS5_HUMAN	ENSG00000204463.14
STK10_HUMAN	ENSG00000072786.13
D6REX3_HUMAN	ENSG00000138674.17
ANX13_HUMAN	ENSG00000104537.17
AMPL_HUMAN	ENSG00000002549.13
TCP4_HUMAN	ENSG00000113387.12
KAD1_HUMAN	ENSG00000106992.19
TRAM1_HUMAN	ENSG00000067167.8
DRS7B_HUMAN	ENSG00000109016.18
Q4R9M9_HUMAN	ENSG00000054523.20
HTAI2_HUMAN	ENSG00000109854.14
B4DVN3_HUMAN	ENSG00000090316.16
A0A0R4J2F3_HUMAN	ENSG00000186184.20
ARPC3_HUMAN	ENSG00000111229.16
A0A087WXC5_HUMAN	ENSG00000130414.13
M0R2B7_HUMAN	ENSG00000062822.16
DLG5_HUMAN	ENSG00000151208.17
DLG5_HUMAN	ENSG00000274429.2
PSN1_HUMAN	ENSG00000080815.20
OXSM_HUMAN	ENSG00000151093.8
CPNE2_HUMAN	ENSG00000140848.17
J3KNF4_HUMAN	ENSG00000173992.9
K7ELQ9_HUMAN	ENSG00000105518.14
PIN4_HUMAN	ENSG00000102309.15
OCC1_HUMAN	ENSG00000235162.9
CDC73_HUMAN	ENSG00000134371.15
GHC1_HUMAN	ENSG00000177542.11
PAR12_HUMAN	ENSG00000059378.13
SYIC_HUMAN	ENSG00000196305.19
SYIC_HUMAN	ENSG00000291356.1
GNAI3_HUMAN	ENSG00000065135.12
PTPS_HUMAN	ENSG00000150787.8
RBP2_HUMAN	ENSG00000153201.17
H0Y547_HUMAN	ENSG00000068650.19
TS101_HUMAN	ENSG00000074319.13
G5E9L0_HUMAN	ENSG00000149182.15
EI2BB_HUMAN	ENSG00000119718.11
PATL1_HUMAN	ENSG00000166889.14
DNJB4_HUMAN	ENSG00000162616.9
SRSF6_HUMAN	ENSG00000124193.16
Q6JHV3_HUMAN	ENSG00000140455.17
UCRI_HUMAN	ENSG00000169021.6
COX3_HUMAN	ENSG00000198938.2
TTC27_HUMAN	ENSG00000018699.13
T2FB_HUMAN	ENSG00000188342.13
PSB9_HUMAN	ENSG00000240065.8
PSB9_HUMAN	ENSG00000240118.7
PSB9_HUMAN	ENSG00000243594.7
PSB9_HUMAN	ENSG00000243067.7
PSB9_HUMAN	ENSG00000239836.7
PSB9_HUMAN	ENSG00000242711.8
PSB9_HUMAN	ENSG00000243958.7
PSB9_HUMAN	ENSG00000240508.7
RS24_HUMAN	ENSG00000138326.21
NU153_HUMAN	ENSG00000124789.12
M0QYZ2_HUMAN	ENSG00000042753.12
CRYL1_HUMAN	ENSG00000165475.15
M0R1I2_HUMAN	ENSG00000011422.12
A0A3B3IU45_HUMAN	ENSG00000104738.19
SDE2_HUMAN	ENSG00000143751.10
LIPA2_HUMAN	ENSG00000139220.17
J3KP39_HUMAN	ENSG00000197798.9
SMC4_HUMAN	ENSG00000113810.16
XPO7_HUMAN	ENSG00000130227.17
B5MD23_HUMAN	ENSG00000011105.14
TYDP1_HUMAN	ENSG00000042088.14
A0A0A0MTH3_HUMAN	ENSG00000166333.14
F5GXE4_HUMAN	ENSG00000107669.19
DECR2_HUMAN	ENSG00000242612.7
DECR2_HUMAN	ENSG00000274296.3
GIMA1_HUMAN	ENSG00000213203.3
CHD1L_HUMAN	ENSG00000131778.20
DNLI3_HUMAN	ENSG00000005156.12
GOGA3_HUMAN	ENSG00000090615.16
RM47_HUMAN	ENSG00000136522.14
S35B2_HUMAN	ENSG00000157593.20
PIGT_HUMAN	ENSG00000124155.19
A0A1X7SBZ2_HUMAN	ENSG00000100201
J3KTL2_HUMAN	ENSG00000136450.13
U119B_HUMAN	ENSG00000175970.11
STN1_HUMAN	ENSG00000107960.12
PEBB_HUMAN	ENSG00000067955.15
NU214_HUMAN	ENSG00000126883.19
H0YJ03_HUMAN	ENSG00000100567.13
FYCO1_HUMAN	ENSG00000163820.16
E9PSB9_HUMAN	ENSG00000118096.10
J3KN75_HUMAN	ENSG00000133138.20
ERP44_HUMAN	ENSG00000023318.9
CLCB_HUMAN	ENSG00000175416.16
