Uniprot ID	Uniprot gene ID	Gene name	Description	Color in plot	log2FC	Adjusted P value
P37287	PIGA_HUMAN	PIGA	Phosphatidylinositol N-acetylglucosaminyltransferase subunit A 	red	1.4473438685259516	0.00013826866195753228
P49903	SPS1_HUMAN	SEPHS1	Selenide, water dikinase 1 	blue	-0.7059096990058862	0.03168880165876979
P49915	GUAA_HUMAN	GMPS	GMP synthase [glutamine-hydrolyzing] 	green	-0.15215335181552092	0.04605194261705672
Q14376	GALE_HUMAN	GALE	UDP-glucose 4-epimerase 	blue	-0.6771919292746578	0.0004104024843678682
D6RHI9	D6RHI9_HUMAN	RNASET2	Ribonuclease T2 (Fragment) 	blue	-0.7679400714169997	0.042925452265528685
Q96KP4	CNDP2_HUMAN	CNDP2	Cytosolic non-specific dipeptidase 	blue	-0.34772999253001835	0.002835465769207659
Q9NRL3	STRN4_HUMAN	STRN4	Striatin-4 	blue	-0.23942946862128167	0.0011994728192329393
P62191	PRS4_HUMAN	PSMC1	26S proteasome regulatory subunit 4 	blue	-0.33801529721362655	0.0012127373865125893
P49589	SYCC_HUMAN	CARS1	Cysteine--tRNA ligase, cytoplasmic 	blue	-0.28283225983454585	0.007591318583628673
A0A1B0GWI2	A0A1B0GWI2_HUMAN	CLN5	Ceroid-lipofuscinosis neuronal protein 5 (Fragment) 	blue	-0.9539011293425137	0.03582998328118723
P06396	GELS_HUMAN	GSN	Gelsolin 	blue	-0.5448835438895898	0.0044681180561693765
Q8TD55	PKHO2_HUMAN	PLEKHO2	Pleckstrin homology domain-containing family O member 2 	blue	-0.3920837169566269	0.017722575196078248
Q96PY5	FMNL2_HUMAN	FMNL2	Formin-like protein 2 	green	-0.13861299498470636	0.007099659506782174
P24001	IL32_HUMAN	IL32	Interleukin-32 	red	0.8479463914514209	0.000993167120957155
Q8IVD9	NUDC3_HUMAN	NUDCD3	NudC domain-containing protein 3 	blue	-0.8848499331054711	0.0004568430958278447
Q5T4U5	Q5T4U5_HUMAN	ACADM	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial 	blue	-0.7880532094128743	0.0461379623165976
Q5U5X0	LYRM7_HUMAN	LYRM7	Complex III assembly factor LYRM7 	blue	-0.288227203235655	0.02777719942984233
P46776	RL27A_HUMAN	RPL27A	60S ribosomal protein L27a 	blue	-0.34677266313256894	0.03747437056716775
P40616	ARL1_HUMAN	ARL1	ADP-ribosylation factor-like protein 1 	blue	-0.4823592608355334	0.0003773679545744881
Q9H7C9	AAMDC_HUMAN	AAMDC	Mth938 domain-containing protein 	blue	-0.43430589609747017	0.0010575718742818546
P35914	HMGCL_HUMAN	HMGCL	Hydroxymethylglutaryl-CoA lyase, mitochondrial 	blue	-0.31211266731049037	0.035487312312275844
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23 	green	-0.18768051038576417	0.0439684831440565
Q7L9L4	MOB1B_HUMAN	MOB1B	MOB kinase activator 1B 	green	-0.18430690635053004	0.03314419451815295
Q9H8H3	MET7A_HUMAN	METTL7A	Methyltransferase-like protein 7A 	green	-0.16457949091608626	0.012032835705177077
Q92733	PRCC_HUMAN	PRCC	Proline-rich protein PRCC 	blue	-0.7971450663635125	0.005707294381518558
O43715	TRIA1_HUMAN	TRIAP1	TP53-regulated inhibitor of apoptosis 1 	green	-0.1919967210812068	0.04850435705839569
H0YEB6	H0YEB6_HUMAN	ZNRD2	Protein ZNRD2 (Fragment) 	blue	-1.0000486146381693	0.0010204001699539514
E7EQ64	E7EQ64_HUMAN	PRSS1	Trypsin-1 	blue	-0.6138518706802572	0.03110018033759381
P10515	ODP2_HUMAN	DLAT	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial 	blue	-0.3694468401380604	0.0002593824153644358
B2RXH8	HNRC2_HUMAN	HNRNPCL2	Heterogeneous nuclear ribonucleoprotein C-like 2 	red	6.990951400249297	0.0034484890908146677
O43292	GPAA1_HUMAN	GPAA1	Glycosylphosphatidylinositol anchor attachment 1 protein 	blue	-0.4941722249388043	0.0045170766060602715
P54105	ICLN_HUMAN	CLNS1A	Methylosome subunit pICln 	blue	-0.5863832595622469	0.0006623055291649058
Q86YJ7	AN13B_HUMAN	ANKRD13B	Ankyrin repeat domain-containing protein 13B 	red	0.5230840138851516	0.015154078636879934
E5RHG8	E5RHG8_HUMAN	ELOC	Elongin-C (Fragment) 	blue	-0.6899164961265782	0.0022318391271843713
O60524	NEMF_HUMAN	NEMF	Nuclear export mediator factor NEMF 	blue	-0.2574890560174854	0.0059653738288931646
B4DHE8	B4DHE8_HUMAN	MSI2	RNA-binding protein Musashi homolog 2 	red	0.3134087365771201	0.009989599328869236
H0Y8R1	H0Y8R1_HUMAN	GRSF1	G-rich sequence factor 1 (Fragment) 	blue	-0.44988432364536735	0.04215871393161803
P52292	IMA1_HUMAN	KPNA2	Importin subunit alpha-1 	blue	-0.4267684023529572	0.016838825004857047
Q9BWJ5	SF3B5_HUMAN	SF3B5	Splicing factor 3B subunit 5 	green	-0.1999844322447899	0.03299885648761792
M0R0C6	M0R0C6_HUMAN	KHSRP	Far upstream element-binding protein 2 	green	-0.1826044772594031	0.00290342106087426
Q01518	CAP1_HUMAN	CAP1	Adenylyl cyclase-associated protein 1 	blue	-0.2720924157617013	0.013443263176194337
Q9GZT8	NIF3L_HUMAN	NIF3L1	NIF3-like protein 1 	blue	-0.37618111708824387	0.0008304641808906845
P05156	CFAI_HUMAN	CFI	Complement factor I 	blue	-0.6953456389232215	0.03299885648761792
P31939	PUR9_HUMAN	ATIC	Bifunctional purine biosynthesis protein ATIC 	blue	-0.4629106876926343	0.002092657038724156
A0A087WVS8	A0A087WVS8_HUMAN	MOB2	MOB kinase activator 2 	red	1.3350074194100774	4.414152335159815e-05
Q92804	RBP56_HUMAN	TAF15	TATA-binding protein-associated factor 2N 	blue	-0.6837400478566238	0.010594638853308958
P10145	IL8_HUMAN	CXCL8	Interleukin-8 	red	2.161557326892382	0.00038161237453093944
Q13201	MMRN1_HUMAN	MMRN1	Multimerin-1 	red	0.3547504698659889	0.0042385394315640635
P18433	PTPRA_HUMAN	PTPRA	Receptor-type tyrosine-protein phosphatase alpha 	blue	-0.3909078046919916	0.0014307877526259203
M0QZ22	M0QZ22_HUMAN	SAMD4B	Protein Smaug homolog 2 	red	1.0005750528013149	0.006348222860495113
J3QL71	J3QL71_HUMAN	SCRN2	Secernin-2 	blue	-0.36540720571981566	0.02554697933229185
Q12907	LMAN2_HUMAN	LMAN2	Vesicular integral-membrane protein VIP36 	blue	-0.3146622017300267	0.004002898464911477
Q6ZMQ8	LMTK1_HUMAN	AATK	Serine/threonine-protein kinase LMTK1 	blue	-0.6836142227886803	0.001523203218246311
Q8WVM8	SCFD1_HUMAN	SCFD1	Sec1 family domain-containing protein 1 	blue	-0.4393925216044394	0.01800258631856337
Q9Y305	ACOT9_HUMAN	ACOT9	Acyl-coenzyme A thioesterase 9, mitochondrial 	blue	-0.4111669405129774	0.01965754162060445
P48556	PSMD8_HUMAN	PSMD8	26S proteasome non-ATPase regulatory subunit 8 	green	-0.17323842705567216	0.026878584102447433
P26599	PTBP1_HUMAN	PTBP1	Polypyrimidine tract-binding protein 1 	blue	-0.5011725024599869	0.004475949672247772
O43148	MCES_HUMAN	RNMT	mRNA cap guanine-N7 methyltransferase 	blue	-0.34640697512820573	0.026642002070177456
G3XAN8	G3XAN8_HUMAN	TIMM8B	Mitochondrial import inner membrane translocase subunit 	blue	-0.4652081022384671	0.0010735589295948476
P62269	RS18_HUMAN	RPS18	40S ribosomal protein S18 	blue	-0.2299512083450388	0.0008710597703215987
Q8TB24	RIN3_HUMAN	RIN3	Ras and Rab interactor 3 	red	0.8537065392386562	0.0012540895528068482
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase 	blue	-0.39979598243996506	0.02554697933229185
Q15011	HERP1_HUMAN	HERPUD1	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein 	orange	0.19335693709309254	0.02392008862487727
A0A087X140	A0A087X140_HUMAN	CBWD1	COBW domain-containing protein 1 	blue	-0.4453410126605757	0.00981406359552113
Q8IWB1	IPRI_HUMAN	ITPRIP	Inositol 1,4,5-trisphosphate receptor-interacting protein 	blue	-0.22242507650716092	0.005188613413966647
Q8TD19	NEK9_HUMAN	NEK9	Serine/threonine-protein kinase Nek9 	green	-0.18384868202478444	0.033333690422954775
P17275	JUNB_HUMAN	JUNB	Transcription factor jun-B 	blue	-0.6970825395809133	0.005166391455300278
O15066	KIF3B_HUMAN	KIF3B	Kinesin-like protein KIF3B 	blue	-0.62838645147934	0.0032363442774000096
O60664	PLIN3_HUMAN	PLIN3	Perilipin-3 	blue	-0.4679882253314922	0.036273265188225295
P46926	GNPI1_HUMAN	GNPDA1	Glucosamine-6-phosphate isomerase 1 	blue	-0.33813757441036074	0.000946773671314648
E7EVJ5	E7EVJ5_HUMAN	CYFIP2	Cytoplasmic FMR1-interacting protein 	blue	-0.20454022565944285	0.007496044834040667
P52732	KIF11_HUMAN	KIF11	Kinesin-like protein KIF11 	blue	-0.9842454861603755	0.0009940716879749728
Q8WU76	SCFD2_HUMAN	SCFD2	Sec1 family domain-containing protein 2 	blue	-0.3945749588524201	0.02789437128176857
Q8N6L1	KTAP2_HUMAN	KRTCAP2	Keratinocyte-associated protein 2 	blue	-0.9557921564410812	0.00582915554341683
P09486	SPRC_HUMAN	SPARC	SPARC 	blue	-0.24978942050601916	0.04400027455696464
P15291	B4GT1_HUMAN	B4GALT1	Beta-1,4-galactosyltransferase 1 	blue	-0.513205197196374	0.03996299689909628
Q7Z434	MAVS_HUMAN	MAVS	Mitochondrial antiviral-signaling protein 	blue	-0.361046531141449	0.00987940670946198
R4GN18	R4GN18_HUMAN	CD46	Membrane cofactor protein (Fragment) 	red	0.21530976724388928	0.010549737771198425
P11234	RALB_HUMAN	RALB	Ras-related protein Ral-B 	blue	-0.3211938641111196	0.009878501195343224
Q9BX40	LS14B_HUMAN	LSM14B	Protein LSM14 homolog B 	blue	-0.4754858777713622	0.017801410530270543
A0A590UJ08	A0A590UJ08_HUMAN	DLG1	Disks large homolog 1 	blue	-0.26946444044746265	0.026480599887621616
Q9BZG1	RAB34_HUMAN	RAB34	Ras-related protein Rab-34 	blue	-0.5829668918650412	0.004648854155029182
Q16864	VATF_HUMAN	ATP6V1F	V-type proton ATPase subunit F 	blue	-0.4417768820255894	0.04506835287774918
P39687	AN32A_HUMAN	ANP32A	Acidic leucine-rich nuclear phosphoprotein 32 family member A 	blue	-0.45506621593259666	0.0005013627999338146
Q92878	RAD50_HUMAN	RAD50	DNA repair protein RAD50 	blue	-0.4683477163931684	0.045618596480098306
P61586	RHOA_HUMAN	RHOA	Transforming protein RhoA 	blue	-0.4848379670226741	0.0038208995962494144
Q9P003	CNIH4_HUMAN	CNIH4	Protein cornichon homolog 4 	blue	-0.7314760659073514	0.020420698987089418
Q14847	LASP1_HUMAN	LASP1	LIM and SH3 domain protein 1 	blue	-0.49901536673252167	0.001595597224117858
P20700	LMNB1_HUMAN	LMNB1	Lamin-B1 	red	0.38306462703594946	0.006674654794973316
E9PAV9	E9PAV9_HUMAN	GPATCH4	G patch domain-containing protein 4 	red	0.4747807943133484	0.002724724715227064
P13798	ACPH_HUMAN	APEH	Acylamino-acid-releasing enzyme 	blue	-0.7791323582204104	0.02810266459875819
Q7L273	KCTD9_HUMAN	KCTD9	BTB/POZ domain-containing protein KCTD9 	green	-0.16272549589407603	0.028373361630937333
P49748	ACADV_HUMAN	ACADVL	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial 	blue	-0.2827715159168829	0.0012586834950304975
C9JA08	C9JA08_HUMAN	NMD3	60S ribosomal export protein NMD3 	blue	-0.6982314209452678	0.00999880489499036
A0A499FIZ0	A0A499FIZ0_HUMAN	WDR26	WD repeat-containing protein 26 	blue	-0.3557264500756947	0.03724441011096853
P07741	APT_HUMAN	APRT	Adenine phosphoribosyltransferase 	blue	-0.44387089853838546	0.0036263335716359693
P04406	G3P_HUMAN	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase 	blue	-0.3524213541889445	0.03158534579217302
Q86US8	EST1A_HUMAN	SMG6	Telomerase-binding protein EST1A 	red	1.3992112799606087	0.035508257783388536
Q12788	TBL3_HUMAN	TBL3	Transducin beta-like protein 3 	blue	-0.2884424647385089	0.0016104719188881668
P56385	ATP5I_HUMAN	ATP5ME	ATP synthase subunit e, mitochondrial 	blue	-0.6670512925187371	5.0776854747523306e-05
P62258	1433E_HUMAN	YWHAE	14-3-3 protein epsilon 	blue	-0.3443434096895146	0.012164391952634523
Q13576	IQGA2_HUMAN	IQGAP2	Ras GTPase-activating-like protein IQGAP2 	red	0.7813685542123228	0.027216117464172938
Q99439	CNN2_HUMAN	CNN2	Calponin-2 	blue	-0.22803658768036605	0.03016908628005951
Q9ULC0	MUCEN_HUMAN	EMCN	Endomucin 	red	8.663246511498867	0.007646111822079073
A0A1B0GUA8	A0A1B0GUA8_HUMAN	KIF13A	Kinesin-like protein KIF13A 	green	-0.19956508397508088	0.010508178666495026
P36404	ARL2_HUMAN	ARL2	ADP-ribosylation factor-like protein 2 	blue	-0.5681617779186663	0.005208218337715575
Q14696	MESD_HUMAN	MESD	LRP chaperone MESD 	green	-0.18939418996760438	0.03458297649901652
P36915	GNL1_HUMAN	GNL1	Guanine nucleotide-binding protein-like 1 	blue	-0.45620716610891776	0.023461917652688877
Q8TDW7	FAT3_HUMAN	FAT3	Protocadherin Fat 3 	red	0.8593066655624746	0.00211501353650728
Q13561	DCTN2_HUMAN	DCTN2	Dynactin subunit 2 	blue	-0.440098194408332	0.0009438421533838364
P49917	DNLI4_HUMAN	LIG4	DNA ligase 4 	blue	-0.4115914278206123	0.004123471062819814
P45880	VDAC2_HUMAN	VDAC2	Voltage-dependent anion-selective channel protein 2 	blue	-0.2247503811733118	0.007591318583628673
H3BT57	H3BT57_HUMAN	PML	Protein PML 	blue	-0.3171745086165654	0.035487312312275844
P30048	PRDX3_HUMAN	PRDX3	Thioredoxin-dependent peroxide reductase, mitochondrial 	blue	-0.3942845517978206	0.0013553222426996145
Q96C90	PP14B_HUMAN	PPP1R14B	Protein phosphatase 1 regulatory subunit 14B 	blue	-0.43897908751831594	0.015927131303459813
Q9HC35	EMAL4_HUMAN	EML4	Echinoderm microtubule-associated protein-like 4 	red	0.2248767625940875	0.009675771902027818
P62857	RS28_HUMAN	RPS28	40S ribosomal protein S28 	blue	-0.4030083187154112	3.49453473994684e-05
O95881	TXD12_HUMAN	TXNDC12	Thioredoxin domain-containing protein 12 	blue	-0.3302245638738146	0.006287743226320766
Q13162	PRDX4_HUMAN	PRDX4	Peroxiredoxin-4 	blue	-0.6346716678490321	0.0023809449753802612
Q96C23	GALM_HUMAN	GALM	Galactose mutarotase 	blue	-0.21479272520224768	0.026639423765655465
Q9NVU7	SDA1_HUMAN	SDAD1	Protein SDA1 homolog 	blue	-0.7962786982783445	0.004094887459371887
Q8IUE6	H2A2B_HUMAN	H2AC21	Histone H2A type 2-B 	blue	-0.6510754673000179	0.0013880072239475171
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2 	blue	-0.4139399143878162	0.0486471032456721
Q8N108	MIER1_HUMAN	MIER1	Mesoderm induction early response protein 1 	red	0.5603478604802969	0.003327792407025254
A0A0A0MRI2	A0A0A0MRI2_HUMAN	SNX6	Sorting nexin 	blue	-0.5106693561999531	0.0033260822902146485
J3KPY9	J3KPY9_HUMAN	ANTXR2	Anthrax toxin receptor 	blue	-0.3308369841620884	0.007591318583628673
O60318	GANP_HUMAN	MCM3AP	Germinal-center associated nuclear protein 	blue	-0.4169094928557797	0.03722874562269674
Q68EM7	RHG17_HUMAN	ARHGAP17	Rho GTPase-activating protein 17 	blue	-0.2677235786905303	0.04991020691308788
A0A0A0MSZ4	A0A0A0MSZ4_HUMAN	FDXR	NADPH:adrenodoxin oxidoreductase, mitochondrial 	red	1.5995576748468459	0.026938642264627173
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5 	blue	-0.454433701021987	0.019468940827742084
Q9Y678	COPG1_HUMAN	COPG1	Coatomer subunit gamma-1 	blue	-0.3020250841894452	0.0038443849663778408
E5RIA4	E5RIA4_HUMAN	DNPEP	Aspartyl aminopeptidase 	red	0.35585402370565333	0.002678641708194316
K4DI95	K4DI95_HUMAN	DIAPH2	Diaphanous homolog 2 (Drosophila), isoform CRA_a 	blue	-0.21078879464020694	0.019982967984686153
Q99720	SGMR1_HUMAN	SIGMAR1	Sigma non-opioid intracellular receptor 1 	blue	-0.5899399563759697	0.011857442203086682
Q5K651	SAMD9_HUMAN	SAMD9	Sterile alpha motif domain-containing protein 9 	blue	-0.39325358689679746	0.04883736344760272
H3BN98	H3BN98_HUMAN	NA	40S ribosomal protein S15a (Fragment) 	blue	-0.6336601811587084	0.026457114929004755
O43854	EDIL3_HUMAN	EDIL3	EGF-like repeat and discoidin I-like domain-containing protein 3 	blue	-0.5165353870427722	0.0001147819377327647
Q8NFH4	NUP37_HUMAN	NUP37	Nucleoporin Nup37 	red	0.49176926334562054	0.03778716062884415
Q9Y3A5	SBDS_HUMAN	SBDS	Ribosome maturation protein SBDS 	blue	-0.5439464147112147	0.0027239091823206708
P02545	LMNA_HUMAN	LMNA	Prelamin-A/C 	green	-0.19349889661101827	0.0017552750848246364
F6U236	F6U236_HUMAN	PACSIN1	Protein kinase C and casein kinase substrate in neurons protein 1 	blue	-0.2585992056708122	0.03458297649901652
Q9H446	RWDD1_HUMAN	RWDD1	RWD domain-containing protein 1 	blue	-0.9154289051142523	0.008450439424008634
P16949	STMN1_HUMAN	STMN1	Stathmin 	blue	-0.31181176400678723	0.004648854155029182
P27797	CALR_HUMAN	CALR	Calreticulin 	green	-0.19984125511123452	0.005855577714446319
Q9BY77	PDIP3_HUMAN	POLDIP3	Polymerase delta-interacting protein 3 	blue	-0.21241315308144593	0.0034901516318520667
A0A1P0AYU5	A0A1P0AYU5_HUMAN	SFXN3	Sidoreflexin 	blue	-0.46793153302303025	0.0006569427910628528
P04040	CATA_HUMAN	CAT	Catalase 	blue	-0.3058273330162429	0.0027211527933805623
Q6ZMI0	PPR21_HUMAN	PPP1R21	Protein phosphatase 1 regulatory subunit 21 	blue	-0.37280283377748624	0.03828364405581244
Q9Y2B0	CNPY2_HUMAN	CNPY2	Protein canopy homolog 2 	red	0.7298278687830173	0.035508257783388536
Q14008	CKAP5_HUMAN	CKAP5	Cytoskeleton-associated protein 5 	blue	-0.8191258353840158	0.012285600625852428
Q9BVG9	PTSS2_HUMAN	PTDSS2	Phosphatidylserine synthase 2 	blue	-0.2881103945293848	0.007934295192751059
E9PME3	E9PME3_HUMAN	TSSC4	Protein TSSC4 (Fragment) 	blue	-1.046718015762501	0.00017348529675878052
A0A6Q8PGT8	A0A6Q8PGT8_HUMAN	LRSAM1	E3 ubiquitin-protein ligase LRSAM1 	blue	-0.3650068174817669	0.008593925292132218
O75116	ROCK2_HUMAN	ROCK2	Rho-associated protein kinase 2 	blue	-0.44827310617288774	0.005348542717845902
O43934	MFS11_HUMAN	MFSD11	UNC93-like protein MFSD11 	red	1.169275399009269	0.0009170458622964305
P21796	VDAC1_HUMAN	VDAC1	Voltage-dependent anion-selective channel protein 1 	blue	-0.23951814135255844	0.0014987529575098035
P02792	FRIL_HUMAN	FTL	Ferritin light chain 	blue	-0.4497808510933172	0.01885004625410766
Q9P2Y5	UVRAG_HUMAN	UVRAG	UV radiation resistance-associated gene protein 	blue	-0.8537740777280973	0.024624639485532354
Q4G148	GXLT1_HUMAN	GXYLT1	Glucoside xylosyltransferase 1 	blue	-0.6256851459956234	0.022323638651317278
O75182	SIN3B_HUMAN	SIN3B	Paired amphipathic helix protein Sin3b 	red	0.5056487297167624	0.012104846057217665
P50502	F10A1_HUMAN	ST13	Hsc70-interacting protein 	green	-0.18915768256418275	0.0018580112833672885
Q9Y2G8	DJC16_HUMAN	DNAJC16	DnaJ homolog subfamily C member 16 	red	0.9306888649311205	0.018238045052097796
Q9P0K7	RAI14_HUMAN	RAI14	Ankycorbin 	blue	-0.489573092084024	0.02278244710359851
Q9HCE1	MOV10_HUMAN	MOV10	Helicase MOV-10 	red	0.37554233924718616	0.009989599328869236
Q9BYD6	RM01_HUMAN	MRPL1	39S ribosomal protein L1, mitochondrial 	blue	-0.37304969383698605	0.022183116723686926
Q9UBC5	MYO1A_HUMAN	MYO1A	Unconventional myosin-Ia 	red	0.9479605875131707	0.004395922897336862
P0DPK5	H3Y2_HUMAN	H3Y2	Histone H3.X 	red	7.263258786765723	4.9919333715764455e-05
P08962	CD63_HUMAN	CD63	CD63 antigen 	blue	-0.4180023290129	0.0019197728409687711
A0A804HJ66	A0A804HJ66_HUMAN	MAN1B1	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase 	orange	0.10346531621538446	0.028400846696602488
O94885	SASH1_HUMAN	SASH1	SAM and SH3 domain-containing protein 1 	blue	-0.37915747467782346	0.03996167577156326
P50402	EMD_HUMAN	EMD	Emerin 	blue	-0.40563130762915556	0.0011133868776758734
A0A7I2V586	A0A7I2V586_HUMAN	ACO2	Aconitate hydratase, mitochondrial 	red	0.5457774128770687	0.018861693947159777
Q8N5C1	CAHM5_HUMAN	CALHM5	Calcium homeostasis modulator protein 5 	green	-0.19456596548660343	0.031058318788417152
Q99714	HCD2_HUMAN	HSD17B10	3-hydroxyacyl-CoA dehydrogenase type-2 	blue	-0.5140122965644167	1.9342514409572595e-05
P19447	ERCC3_HUMAN	ERCC3	General transcription and DNA repair factor IIH helicase subunit XPB 	orange	0.1923531855538716	0.02319415204922118
H0YBU4	H0YBU4_HUMAN	PCMTD1	Protein-L-isoaspartate O-methyltransferase domain-containing protein 1 (Fragment) 	blue	-0.3513410503655301	0.009431556384852055
A0A7I2V428	A0A7I2V428_HUMAN	NCL	Nucleolin 	blue	-0.23153957844152018	0.03486120616739546
Q9NSY1	BMP2K_HUMAN	BMP2K	BMP-2-inducible protein kinase 	blue	-1.959428932023398	0.020206581741333673
Q9H3H5	GPT_HUMAN	DPAGT1	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase 	red	0.9018141292598312	0.010549737771198425
Q3L8U1	CHD9_HUMAN	CHD9	Chromodomain-helicase-DNA-binding protein 9 	red	0.7598697394676872	0.020458584263322532
P37059	DHB2_HUMAN	HSD17B2	17-beta-hydroxysteroid dehydrogenase type 2 	orange	0.1850498472555273	0.036273265188225295
Q9UGK3	STAP2_HUMAN	STAP2	Signal-transducing adaptor protein 2 	blue	-1.1672536811849117	0.0009173403426034182
F2Z2W7	F2Z2W7_HUMAN	TRMT2A	tRNA (uracil-5-)-methyltransferase homolog A 	blue	-3.332594839000734	0.004618024848043502
O75436	VP26A_HUMAN	VPS26A	Vacuolar protein sorting-associated protein 26A 	blue	-0.5342806388991121	0.0009167007228982038
P10321	HLAC_HUMAN	HLA-C	HLA class I histocompatibility antigen, C alpha chain 	blue	-1.2326160952081082	0.03954567435456489
Q9BQ51	PD1L2_HUMAN	PDCD1LG2	Programmed cell death 1 ligand 2 	blue	-0.2372062025576973	0.007615386934408756
Q92599	SEPT8_HUMAN	SEPTIN8	Septin-8 	blue	-0.35084781497761064	0.0011901211858290901
P49368	TCPG_HUMAN	CCT3	T-complex protein 1 subunit gamma 	blue	-0.34063895555956947	0.005598678224563392
P15531	NDKA_HUMAN	NME1	Nucleoside diphosphate kinase A 	blue	-0.44886240387982035	0.00023886606225004815
Q15645	PCH2_HUMAN	TRIP13	Pachytene checkpoint protein 2 homolog 	blue	-0.5721480209868623	0.03277612249476036
Q04917	1433F_HUMAN	YWHAH	14-3-3 protein eta 	green	-0.057344083174221794	0.04665948276560222
P06756	ITAV_HUMAN	ITGAV	Integrin alpha-V 	blue	-0.27156494457003255	0.011479750335834149
A0A7I2V4K0	A0A7I2V4K0_HUMAN	ASH1L	Histone-lysine N-methyltransferase ASH1L 	red	0.43907277944773426	0.006122988855130019
Q9UBU9	NXF1_HUMAN	NXF1	Nuclear RNA export factor 1 	red	0.22094019759056138	0.023177320926269635
H7C2Q8	H7C2Q8_HUMAN	EBNA1BP2	EBNA1 binding protein 2, isoform CRA_d 	blue	-0.37595562918312986	0.04864996618183412
Q15036	SNX17_HUMAN	SNX17	Sorting nexin-17 	blue	-0.43466505101486774	0.0236660056504381
A0A2R8YD85	A0A2R8YD85_HUMAN	DOCK10	Dedicator of cytokinesis protein 10 	orange	0.1434536707260765	0.044214200700914606
P62633	CNBP_HUMAN	CNBP	CCHC-type zinc finger nucleic acid binding protein 	blue	-0.558161983662794	0.0003432908254340929
Q9H4A6	GOLP3_HUMAN	GOLPH3	Golgi phosphoprotein 3 	blue	-0.3799768970741422	0.018738956238877513
Q9BYT8	NEUL_HUMAN	NLN	Neurolysin, mitochondrial 	blue	-0.39957229241450776	0.0038739524853472437
I3L2L5	I3L2L5_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1 	blue	-0.7935210365869665	0.00012387394590103275
Q9Y2Q3	GSTK1_HUMAN	GSTK1	Glutathione S-transferase kappa 1 	blue	-0.6781545883908233	0.002180342377093199
A0A804HJA0	A0A804HJA0_HUMAN	TRIML2	Probable E3 ubiquitin-protein ligase TRIML2 	blue	-0.4490627652410595	0.013637540448953022
Q9UEW8	STK39_HUMAN	STK39	STE20/SPS1-related proline-alanine-rich protein kinase 	blue	-0.39228425657140065	0.0408524975118882
P42338	PK3CB_HUMAN	PIK3CB	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform 	blue	-0.8230274169613008	0.00228565055542295
Q9UIV1	CNOT7_HUMAN	CNOT7	CCR4-NOT transcription complex subunit 7 	blue	-0.22180233935950078	0.049332021652921096
Q8WUH2	TGFA1_HUMAN	TGFBRAP1	Transforming growth factor-beta receptor-associated protein 1 	red	0.5067232702292976	0.017069159151002034
Q9H307	PININ_HUMAN	PNN	Pinin 	red	0.22885205964521305	0.03385538754229954
P18077	RL35A_HUMAN	RPL35A	60S ribosomal protein L35a 	blue	-0.3988352469508687	0.018650377726577266
P63261	ACTG_HUMAN	ACTG1	Actin, cytoplasmic 2 	red	2.110640555857147	0.0003432908254340929
Q71UI9	H2AV_HUMAN	H2AZ2	Histone H2A.V 	blue	-0.4833147567331082	0.019611599981676504
E9PGT6	E9PGT6_HUMAN	COPS8	COP9 signalosome complex subunit 8 	blue	-0.3173913012286178	0.0019105697538691678
Q9NVM6	DJC17_HUMAN	DNAJC17	DnaJ homolog subfamily C member 17 	blue	-0.48222735567239283	0.0018155029178876108
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3 	red	0.9261534681644967	0.03299885648761792
P52926	HMGA2_HUMAN	HMGA2	High mobility group protein HMGI-C 	blue	-0.7478756062235341	0.00029371757632116536
Q14573	ITPR3_HUMAN	ITPR3	Inositol 1,4,5-trisphosphate receptor type 3 	green	-0.1586627998986323	0.021094725049883033
O15211	RGL2_HUMAN	RGL2	Ral guanine nucleotide dissociation stimulator-like 2 	red	0.9258448747483854	0.007103897701522502
O00423	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1 	blue	-0.5320562989825834	0.0010101992202898073
P11177	ODPB_HUMAN	PDHB	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial 	blue	-0.3115131115001013	0.04371165164685815
Q8WUH6	TM263_HUMAN	TMEM263	Transmembrane protein 263 	orange	0.13602384242089727	0.03166473115191697
Q9Y6B6	SAR1B_HUMAN	SAR1B	GTP-binding protein SAR1b 	blue	-0.24133938968437008	0.008176877711308192
